School Year,Division Number,Division Name,School Number,School Name,Total Count
2021-2022,7,Arlington County ,180,Jefferson Middle,             179
2021-2022,7,Arlington County ,500,Kenmore Middle,             228
2021-2022,7,Arlington County ,460,Long Branch Elementary,              55
2021-2022,7,Arlington County ,627,Montessori Public School of Arlington,              55
2021-2022,7,Arlington County ,410,Nottingham Elementary,              52
2021-2022,7,Arlington County ,360,Oakridge Elementary,              61
2021-2022,7,Arlington County ,510,Randolph Elementary,              86
2021-2022,7,Arlington County ,240,Swanson Middle,             137
2021-2022,7,Arlington County ,420,Taylor Elementary,              63
2021-2022,7,Arlington County ,211,Tuckahoe Elementary,              49
2021-2022,7,Arlington County ,450,Wakefield High,             544
2021-2022,7,Arlington County ,80,Washington-Liberty High,             401
2021-2022,7,Arlington County ,480,Williamsburg Middle,             113
2021-2022,7,Arlington County ,330,Yorktown High,             413
2021-2022,8,Augusta County ,212,Beverley Manor Middle,              54
2021-2022,8,Augusta County ,660,Buffalo Gap High,              49
2021-2022,8,Augusta County ,30,Cassell Elementary,              68
2021-2022,8,Augusta County ,140,Churchville Elementary,              30
2021-2022,8,Augusta County ,370,Craigsville Elementary,              14
2021-2022,8,Augusta County ,842,Edward G. Clymore Elementary,              57
2021-2022,8,Augusta County ,670,Fort Defiance High,              80
2021-2022,8,Augusta County ,843,Guy K. Stump Elementary,              34
2021-2022,8,Augusta County ,40,North River Elementary,              16
2021-2022,8,Augusta County ,740,Riverheads Elementary,              57
2021-2022,8,Augusta County ,680,Riverheads High,              43
2021-2022,8,Augusta County ,90,S. Gordon Stewart Middle,              45
2021-2022,8,Augusta County ,440,Stuarts Draft Elementary,              49
2021-2022,8,Augusta County ,730,Stuarts Draft High,              87
2021-2022,8,Augusta County ,60,Stuarts Draft Middle,              57
2021-2022,8,Augusta County ,640,Wilson Elementary,              83
2021-2022,8,Augusta County ,720,Wilson Memorial High,              87
2021-2022,8,Augusta County ,844,Wilson Middle,              84
2021-2022,9,Bath County ,140,Bath County High,              22
2021-2022,9,Bath County ,120,Millboro Elementary,              32
2021-2022,9,Bath County ,150,Valley Elementary,              33
2021-2022,10,Bedford County ,480,Bedford Elementary,              53
2021-2022,10,Bedford County ,1200,Bedford Primary,              73
2021-2022,10,Bedford County ,30,Big Island Elementary,              14
2021-2022,10,Bedford County ,160,Boonsboro Elementary,              29
2021-2022,10,Bedford County ,500,Forest Elementary,              22
2021-2022,10,Bedford County ,1211,Forest Middle,              77
2021-2022,10,Bedford County ,1214,Goodview Elementary,              76
2021-2022,10,Bedford County ,980,Huddleston Elementary,              27
2021-2022,10,Bedford County ,1212,Jefferson Forest High,             115
2021-2022,10,Bedford County ,1180,Liberty High,             117
2021-2022,10,Bedford County ,490,Liberty Middle,              92
2021-2022,10,Bedford County ,970,Moneta Elementary,              22
2021-2022,10,Bedford County ,180,Montvale Elementary,              36
2021-2022,10,Bedford County ,610,New London Academy Elementary,              54
2021-2022,10,Bedford County ,1170,Otter River Elementary,              25
2021-2022,10,Bedford County ,1190,Staunton River High,             123
2021-2022,10,Bedford County ,1191,Staunton River Middle,              81
2021-2022,10,Bedford County ,640,Stewartsville Elementary,              44
2021-2022,10,Bedford County ,1213,Thomas Jefferson Elementary,              49
2021-2022,11,Bland County ,250,Bland County Elementary ,              62
2021-2022,11,Bland County ,260,Bland County High,              77
2021-2022,12,Botetourt County ,220,Breckinridge Elementary,              32
2021-2022,12,Botetourt County ,20,Buchanan Elementary,              74
2021-2022,12,Botetourt County ,420,Central Academy Middle,              55
2021-2022,12,Botetourt County ,390,Cloverdale Elementary,              34
2021-2022,12,Botetourt County ,400,Colonial Elementary,              90
2021-2022,12,Botetourt County ,30,Eagle Rock Elementary,              24
2021-2022,12,Botetourt County ,460,Greenfield Elementary,              95
2021-2022,12,Botetourt County ,430,James River High,              61
2021-2022,12,Botetourt County ,440,Lord Botetourt High,             100
2021-2022,12,Botetourt County ,450,Read Mountain Middle,              92
2021-2022,12,Botetourt County ,40,Troutville Elementary,              48
2021-2022,102,Bristol City ,60,Highland View Elementary,              35
2021-2022,102,Bristol City ,100,Joseph Van Pelt Elementary,             121
2021-2022,102,Bristol City ,70,Stonewall Jackson Elementary,              29
2021-2022,102,Bristol City ,80,Virginia High,              98
2021-2022,102,Bristol City ,10,Virginia Middle,              94
2021-2022,102,Bristol City ,90,Washington-Lee Elementary,              44
2021-2022,13,Brunswick County ,650,Brunswick High,              67
2021-2022,13,Brunswick County ,660,James S. Russell Middle,              49
2021-2022,13,Brunswick County ,690,Meherrin Powellton Elementary,              18
2021-2022,13,Brunswick County ,700,Red Oak-Sturgeon Elementary,              32
2021-2022,13,Brunswick County ,720,Totaro Elementary,              23
2021-2022,14,Buchanan County ,90,Council Elementary/Middle,              27
2021-2022,14,Buchanan County ,1000,Council High ,              27
2021-2022,14,Buchanan County ,990,Grundy High,              65
2021-2022,14,Buchanan County ,120,Hurley Elementary/Middle,              66
2021-2022,14,Buchanan County ,1020,Hurley High,              36
2021-2022,14,Buchanan County ,1040,Riverview Elementary/Middle,             130
2021-2022,14,Buchanan County ,1041,Twin Valley Elementary/Middle,              41
2021-2022,14,Buchanan County ,1042,Twin Valley High,              32
2021-2022,15,Buckingham County ,724,Buckingham Co Elementary,              60
2021-2022,15,Buckingham County ,20,Buckingham Co Prekindergarten Center,              21
2021-2022,15,Buckingham County ,723,Buckingham Co Primary,              51
2021-2022,15,Buckingham County ,700,Buckingham County High,              89
2021-2022,15,Buckingham County ,721,Buckingham County Middle,              72
2021-2022,103,Buena Vista City ,40,Enderly Heights Elementary,              32
2021-2022,103,Buena Vista City ,70,F.W. Kling Jr. Elementary,              64
2021-2022,103,Buena Vista City ,62,Parry McCluer High,              52
2021-2022,103,Buena Vista City ,61,Parry McCluer Middle,              26
2021-2022,16,Campbell County ,560,Altavista Elementary,              60
2021-2022,16,Campbell County ,200,Altavista High,             105
2021-2022,16,Campbell County ,650,Brookneal Elementary,              49
2021-2022,16,Campbell County ,720,Brookville High,             120
2021-2022,16,Campbell County ,20,Brookville Middle,              96
2021-2022,16,Campbell County ,130,Concord Elementary,              51
2021-2022,16,Campbell County ,690,Leesville Road Elementary,              81
2021-2022,16,Campbell County ,821,Rustburg Elementary,              57
2021-2022,16,Campbell County ,222,Rustburg High,             103
2021-2022,16,Campbell County ,211,Rustburg Middle,              90
2021-2022,16,Campbell County ,60,Tomahawk Elementary,             103
2021-2022,16,Campbell County ,542,William Campbell High,              58
2021-2022,16,Campbell County ,710,Yellow Branch Elementary,             115
2021-2022,17,Caroline County ,620,Bowling Green Elementary,             109
2021-2022,17,Caroline County ,460,Caroline High,             165
2021-2022,17,Caroline County ,450,Caroline Middle,             119
2021-2022,17,Caroline County ,9020,Lewis and Clark Elementary,             100
2021-2022,17,Caroline County ,630,Madison Elementary,              52
2021-2022,18,Carroll County ,1230,Carroll County High,             176
2021-2022,18,Carroll County ,450,Carroll County Middle,             127
2021-2022,18,Carroll County ,1180,Fancy Gap Elementary,              16
2021-2022,18,Carroll County ,1150,Gladesboro Elementary,              10
2021-2022,18,Carroll County ,1210,Gladeville Elementary,              54
2021-2022,18,Carroll County ,1170,Hillsville Elementary,             112
2021-2022,18,Carroll County ,1160,Laurel Elementary,              36
2021-2022,18,Carroll County ,1130,Oakland Elementary,              35
2021-2022,18,Carroll County ,1110,St. Paul,              59
2021-2022,19,Charles City County ,80,Charles City County Elementary,              67
2021-2022,19,Charles City County ,100,Charles City County High,              38
2021-2022,20,Charlotte County ,470,Bacon District Elementary,              22
2021-2022,20,Charlotte County ,210,Central Middle,              52
2021-2022,20,Charlotte County ,100,Eureka Elementary,              34
2021-2022,20,Charlotte County ,450,Phenix Elementary,              22
2021-2022,20,Charlotte County ,460,Randolph-Henry High,              80
2021-2022,104,Charlottesville City ,100,Buford Middle,             103
2021-2022,104,Charlottesville City ,70,Burnley-Moran Elementary,              43
2021-2022,104,Charlottesville City ,140,Charlottesville High,             181
2021-2022,104,Charlottesville City ,50,Clark Elementary,              38
2021-2022,104,Charlottesville City ,90,Greenbrier Elementary,              32
2021-2022,104,Charlottesville City ,120,Jackson-Via Elementary,              67
2021-2022,104,Charlottesville City ,10,Johnson Elementary,              32
2021-2022,104,Charlottesville City ,40,Venable Elementary,              30
2021-2022,104,Charlottesville City ,110,Walker Upper Elementary,              92
2021-2022,136,Chesapeake City ,630,B.M. Williams Primary,             157
2021-2022,136,Chesapeake City ,860,Butts Road Intermediate,             125
2021-2022,136,Chesapeake City ,770,Butts Road Primary,              99
2021-2022,136,Chesapeake City ,90,Camelot Elementary,              55
2021-2022,136,Chesapeake City ,900,Cedar Road Elementary,             116
2021-2022,136,Chesapeake City ,700,Crestwood Intermediate,             110
2021-2022,136,Chesapeake City ,560,Crestwood Middle,              97
2021-2022,136,Chesapeake City ,660,Deep Creek Central Elementary,             148
2021-2022,136,Chesapeake City ,210,Deep Creek Elementary,             148
2021-2022,136,Chesapeake City ,100,Deep Creek High,             261
2021-2022,136,Chesapeake City ,610,Deep Creek Middle,             147
2021-2022,136,Chesapeake City ,640,Edwin W. Chittum Elementary,             159
2021-2022,136,Chesapeake City ,720,G.A. Treakle Elementary,              83
2021-2022,136,Chesapeake City ,50,George W. Carver Intermediate,              87
2021-2022,136,Chesapeake City ,820,Georgetown Primary,             114
2021-2022,136,Chesapeake City ,950,Grassfield Elementary,             186
2021-2022,136,Chesapeake City ,960,Grassfield High,             231
2021-2022,136,Chesapeake City ,120,Great Bridge High,             229
2021-2022,136,Chesapeake City ,850,Great Bridge Intermediate,              82
2021-2022,136,Chesapeake City ,590,Great Bridge Middle,             138
2021-2022,136,Chesapeake City ,680,Great Bridge Primary,              97
2021-2022,136,Chesapeake City ,870,Greenbrier Intermediate,              99
2021-2022,136,Chesapeake City ,972,Greenbrier Middle,             173
2021-2022,136,Chesapeake City ,140,Greenbrier Primary,             139
2021-2022,136,Chesapeake City ,340,Hickory Elementary,              88
2021-2022,136,Chesapeake City ,890,Hickory High,             247
2021-2022,136,Chesapeake City ,280,Hickory Middle,             210
2021-2022,136,Chesapeake City ,920,Hugo A. Owens Middle,             173
2021-2022,136,Chesapeake City ,830,Indian River High,             317
2021-2022,136,Chesapeake City ,710,Indian River Middle,             147
2021-2022,136,Chesapeake City ,973,Jolliff Middle,             138
2021-2022,136,Chesapeake City ,160,Norfolk Highlands Primary,              38
2021-2022,136,Chesapeake City ,80,Oscar F. Smith High,             427
2021-2022,136,Chesapeake City ,10,Oscar Smith Middle,             212
2021-2022,136,Chesapeake City ,730,Portlock Primary,              83
2021-2022,136,Chesapeake City ,200,Rena B. Wright Primary,              39
2021-2022,136,Chesapeake City ,620,Southeastern Elementary,             168
2021-2022,136,Chesapeake City ,600,Southwestern Elementary,              87
2021-2022,136,Chesapeake City ,750,Sparrow Road Intermediate,              79
2021-2022,136,Chesapeake City ,40,Thurgood Marshall Elementary,              50
2021-2022,136,Chesapeake City ,971,Truitt Intermediate,              50
2021-2022,136,Chesapeake City ,840,Western Branch High,             401
2021-2022,136,Chesapeake City ,810,Western Branch Intermediate,             117
2021-2022,136,Chesapeake City ,740,Western Branch Middle,             152
2021-2022,136,Chesapeake City ,110,Western Branch Primary,             127
2021-2022,21,Chesterfield County ,620,A.M. Davis Elementary,             111
2021-2022,21,Chesterfield County ,861,Alberta Smith Elementary,             104
2021-2022,21,Chesterfield County ,631,Bailey Bridge Middle,             246
2021-2022,21,Chesterfield County ,660,Bellwood Elementary,              64
2021-2022,21,Chesterfield County ,430,Bensley Elementary,              79
2021-2022,21,Chesterfield County ,510,Bettie Weaver Elementary,              72
2021-2022,21,Chesterfield County ,130,Beulah Elementary,              94
2021-2022,21,Chesterfield County ,20,Bon Air Elementary,             118
2021-2022,21,Chesterfield County ,50,C.C. Wells Elementary,              93
2021-2022,21,Chesterfield County ,492,C.E. Curtis Elementary,              81
2021-2022,21,Chesterfield County ,30,Carver College and Career Academy,              59
2021-2022,21,Chesterfield County ,420,Carver Middle,             180
2021-2022,21,Chesterfield County ,33,Chester Early Childhood Learning Academy,              73
2021-2022,21,Chesterfield County ,150,Clover Hill Elementary,             112
2021-2022,21,Chesterfield County ,740,Clover Hill High,             206
2021-2022,21,Chesterfield County ,840,Cosby High,             198
2021-2022,21,Chesterfield County ,560,Crestwood Elementary,              69
2021-2022,21,Chesterfield County ,480,Ecoff Elementary,              82
2021-2022,21,Chesterfield County ,870,Elizabeth Davis Middle,             170
2021-2022,21,Chesterfield County ,850,Elizabeth Scott Elementary,              77
2021-2022,21,Chesterfield County ,390,Enon Elementary,              93
2021-2022,21,Chesterfield County ,350,Ettrick Elementary,              65
2021-2022,21,Chesterfield County ,300,Evergreen Elementary,             160
2021-2022,21,Chesterfield County ,590,Falling Creek Elementary,              74
2021-2022,21,Chesterfield County ,670,Falling Creek Middle,             180
2021-2022,21,Chesterfield County ,390,Granby High,<
2021-2022,21,Chesterfield County ,180,Grange Hall Elementary,             106
2021-2022,21,Chesterfield County ,70,Greenfield Elementary,              66
2021-2022,21,Chesterfield County ,460,Harrowgate Elementary,              71
2021-2022,21,Chesterfield County ,60,Hopkins Road Elementary,              68
2021-2022,21,Chesterfield County ,550,J.A. Chalkley Elementary,              91
2021-2022,21,Chesterfield County ,650,J.B. Watkins Elementary,              81
2021-2022,21,Chesterfield County ,500,J.G. Hening Elementary,             123
2021-2022,21,Chesterfield County ,400,Jacobs Road Elementary,             117
2021-2022,21,Chesterfield County ,770,James River High,             219
2021-2022,21,Chesterfield County ,10,Lloyd C. Bird High,             254
2021-2022,21,Chesterfield County ,632,Manchester High,             344
2021-2022,21,Chesterfield County ,600,Manchester Middle,             141
2021-2022,21,Chesterfield County ,780,Marguerite F. Christian Elementary,              81
2021-2022,21,Chesterfield County ,370,Matoaca Elementary,              75
2021-2022,21,Chesterfield County ,530,Matoaca High,             202
2021-2022,21,Chesterfield County ,110,Matoaca Middle,             120
2021-2022,21,Chesterfield County ,580,Meadowbrook High,             210
2021-2022,21,Chesterfield County ,320,Midlothian High,             224
2021-2022,21,Chesterfield County ,40,Midlothian Middle,             128
2021-2022,21,Chesterfield County ,280,Monacan High,             171
2021-2022,21,Chesterfield County ,360,O.B. Gates Elementary,             116
2021-2022,21,Chesterfield County ,90,Old Hundred Elementary,             124
2021-2022,21,Chesterfield County ,380,Providence Elementary,             101
2021-2022,21,Chesterfield County ,690,Providence Middle,             138
2021-2022,21,Chesterfield County ,700,Reams Road Elementary,              78
2021-2022,21,Chesterfield County ,730,Robious Elementary,             103
2021-2022,21,Chesterfield County ,760,Robious Middle,             157
2021-2022,21,Chesterfield County ,720,Salem Church Elementary,              57
2021-2022,21,Chesterfield County ,722,Salem Church Middle,             141
2021-2022,21,Chesterfield County ,800,Spring Run Elementary,             126
2021-2022,21,Chesterfield County ,340,Swift Creek Elementary,             100
2021-2022,21,Chesterfield County ,270,Swift Creek Middle,             120
2021-2022,21,Chesterfield County ,410,Thelma Crenshaw Elementary,              98
2021-2022,21,Chesterfield County ,610,Thomas Dale High,             346
2021-2022,21,Chesterfield County ,880,Tomahawk Creek Middle,             183
2021-2022,21,Chesterfield County ,290,W.W. Gordon Elementary,              66
2021-2022,21,Chesterfield County ,860,Winterpock Elementary,             148
2021-2022,21,Chesterfield County ,440,Woolridge Elementary,             128
2021-2022,22,Clarke County ,250,Boyce Elementary,              40
2021-2022,22,Clarke County ,10,Clarke County High,              70
2021-2022,22,Clarke County ,290,D.G. Cooley Elementary,              44
2021-2022,22,Clarke County ,280,Johnson-Williams Middle,              53
2021-2022,202,Colonial Beach ,22,Colonial Beach Elementary,              62
2021-2022,202,Colonial Beach ,21,Colonial Beach High,              30
2021-2022,106,Colonial Heights City ,40,Colonial Heights High,             138
2021-2022,106,Colonial Heights City ,20,Colonial Heights Middle,             131
2021-2022,106,Colonial Heights City ,50,Lakeview Elementary,              62
2021-2022,106,Colonial Heights City ,30,North Elementary,              35
2021-2022,106,Colonial Heights City ,60,Tussing Elementary,             105
2021-2022,107,Covington City ,350,Covington High,              72
2021-2022,107,Covington City ,260,Edgemont Primary,              69
2021-2022,107,Covington City ,360,Jeter-Watson Intermediate,              63
2021-2022,23,Craig County ,11,Craig County High,              67
2021-2022,23,Craig County ,10,McCleary Elementary,              68
2021-2022,24,Culpeper County ,240,A.G. Richardson Elementary,              96
2021-2022,24,Culpeper County ,480,Culpeper County High,             128
2021-2022,24,Culpeper County ,20,Culpeper Middle,             108
2021-2022,24,Culpeper County ,50,Eastern View High,             124
2021-2022,24,Culpeper County ,450,Emerald Hill Elementary,              81
2021-2022,24,Culpeper County ,470,Farmington Elementary,              51
2021-2022,24,Culpeper County ,581,Floyd T. Binns Middle,              75
2021-2022,24,Culpeper County ,582,Galbreath-Marshall Building,              18
2021-2022,24,Culpeper County ,10,Pearl Sample Elementary,              87
2021-2022,24,Culpeper County ,460,Sycamore Park Elementary,              77
2021-2022,24,Culpeper County ,40,Yowell Elementary,              91
2021-2022,25,Cumberland County ,140,Cumberland Elementary,              64
2021-2022,25,Cumberland County ,151,Cumberland High,              55
2021-2022,25,Cumberland County ,152,Cumberland Middle,              41
2021-2022,108,Danville City ,490,Edwin A. Gibson Elementary,              94
2021-2022,108,Danville City ,20,Forest Hills Elementary,              23
2021-2022,108,Danville City ,190,G.L.H. Johnson Elementary,              51
2021-2022,108,Danville City ,1374,Galileo Magnet High,              21
2021-2022,108,Danville City ,210,George Washington High,             236
2021-2022,108,Danville City ,200,Grove Park Preschool,              33
2021-2022,108,Danville City ,260,O. Trent Bonner Middle,              98
2021-2022,108,Danville City ,250,Park Avenue Elementary,              58
2021-2022,108,Danville City ,40,Schoolfield Elementary,              66
2021-2022,108,Danville City ,30,The Northside Preschool,              21
2021-2022,108,Danville City ,1372,Westwood Middle,             104
2021-2022,108,Danville City ,220,Woodberry Hills Elementary,              67
2021-2022,26,Dickenson County ,20,Clintwood Elementary,              54
2021-2022,26,Dickenson County ,530,Ervinton Elementary,              31
2021-2022,26,Dickenson County ,275,Ridgeview High,             110
2021-2022,26,Dickenson County ,280,Ridgeview Middle,              69
2021-2022,26,Dickenson County ,860,Sandlick Elementary,              67
2021-2022,27,Dinwiddie County ,500,Dinwiddie County High,             209
2021-2022,27,Dinwiddie County ,471,Dinwiddie County Middle,             151
2021-2022,27,Dinwiddie County ,310,Dinwiddie Elementary,              72
2021-2022,27,Dinwiddie County ,250,Midway Elementary,              35
2021-2022,27,Dinwiddie County ,10,Southside Elementary,              59
2021-2022,27,Dinwiddie County ,180,Sunnyside Elementary,              35
2021-2022,27,Dinwiddie County ,520,Sutherland Elementary,              50
2021-2022,28,Essex County ,10,Essex High,              78
2021-2022,28,Essex County ,150,James H. Cary Intermediate ,              65
2021-2022,28,Essex County ,160,Tappahannock Elementary,              44
2021-2022,29,Fairfax County ,2203,Aldrin Elementary,             109
2021-2022,29,Fairfax County ,660,Annandale High,             390
2021-2022,29,Fairfax County ,1360,Annandale Terrace Elementary,              79
2021-2022,29,Fairfax County ,110,Archer Elementary,              68
2021-2022,29,Fairfax County ,1530,Armstrong Elementary,             101
2021-2022,29,Fairfax County ,550,Bailey's Elementary School for the Arts and Sciences,              92
2021-2022,29,Fairfax County ,2459,Bailey's Upper Elementary School for the Arts and Sciences,              77
2021-2022,29,Fairfax County ,1730,Beech Tree Elementary,              61
2021-2022,29,Fairfax County ,560,Belle View Elementary,              96
2021-2022,29,Fairfax County ,720,Belvedere Elementary,             108
2021-2022,29,Fairfax County ,2000,Bonnie Brae Elementary,             135
2021-2022,29,Fairfax County ,1090,Braddock Elementary,             107
2021-2022,29,Fairfax County ,940,Bren Mar Park Elementary,              76
2021-2022,29,Fairfax County ,1790,Brookfield Elementary,              90
2021-2022,29,Fairfax County ,2201,Bryant High,              13
2021-2022,29,Fairfax County ,700,Bucknell Elementary,              61
2021-2022,29,Fairfax County ,2251,Bull Run Early Childhood Resource Center,             210
2021-2022,29,Fairfax County ,2225,Bull Run Elementary,             101
2021-2022,29,Fairfax County ,680,Bush Hill Elementary,             119
2021-2022,29,Fairfax County ,1940,Camelot Elementary,             108
2021-2022,29,Fairfax County ,620,Cameron Elementary,              67
2021-2022,29,Fairfax County ,1590,Canterbury Woods Elementary,             116
2021-2022,29,Fairfax County ,1690,Cardinal Forest Elementary,             129
2021-2022,29,Fairfax County ,2222,Carson Middle,             136
2021-2022,29,Fairfax County ,2090,Centre Ridge Elementary,              91
2021-2022,29,Fairfax County ,2205,Centreville Elementary,             129
2021-2022,29,Fairfax County ,200,Centreville High,             337
2021-2022,29,Fairfax County ,131,Chantilly High,             449
2021-2022,29,Fairfax County ,480,Cherry Run Elementary,              83
2021-2022,29,Fairfax County ,100,Chesterbrook Elementary,              74
2021-2022,29,Fairfax County ,1050,Churchill Road Elementary,              64
2021-2022,29,Fairfax County ,260,Clearview Elementary,             108
2021-2022,29,Fairfax County ,1870,Clermont Elementary,              62
2021-2022,29,Fairfax County ,2347,Coates Elementary,              90
2021-2022,29,Fairfax County ,1510,Columbia Elementary,              63
2021-2022,29,Fairfax County ,2234,Colvin Run Elementary,              94
2021-2022,29,Fairfax County ,1190,Cooper Middle,             113
2021-2022,29,Fairfax County ,870,Crestwood Elementary,              58
2021-2022,29,Fairfax County ,2020,Crossfield Elementary,              88
2021-2022,29,Fairfax County ,1600,Cub Run Elementary,             114
2021-2022,29,Fairfax County ,1700,Cunningham Park Elementary,              95
2021-2022,29,Fairfax County ,2229,Daniels Run Elementary,             150
2021-2022,29,Fairfax County ,2204,Deer Park Elementary,             131
2021-2022,29,Fairfax County ,220,Dogwood Elementary,             109
2021-2022,29,Fairfax County ,2010,Dranesville Elementary,             142
2021-2022,29,Fairfax County ,2238,Dunn Loring Early Childhood Resource Center,             258
2021-2022,29,Fairfax County ,2243,Eagle View Elementary,             125
2021-2022,29,Fairfax County ,1270,Edison High,             317
