School Year,Division Number,Division Name,School Number,School Name,Total Count
2022-2023,29,Fairfax County ,1110,Johnson Middle,             157
2022-2023,29,Fairfax County ,1070,Justice High,             372
2022-2023,29,Fairfax County ,1240,Keene Mill Elementary,              97
2022-2023,29,Fairfax County ,980,Kent Gardens Elementary,              91
2022-2023,29,Fairfax County ,1901,Key Center,              56
2022-2023,29,Fairfax County ,1900,Key Middle,             124
2022-2023,29,Fairfax County ,1761,Kilmer Center,              55
2022-2023,29,Fairfax County ,1760,Kilmer Middle,             132
2022-2023,29,Fairfax County ,1890,Kings Glen Elementary,              81
2022-2023,29,Fairfax County ,1440,Kings Park Elementary,             114
2022-2023,29,Fairfax County ,1570,Lake Anne Elementary,              97
2022-2023,29,Fairfax County ,90,Lake Braddock Secondary,             643
2022-2023,29,Fairfax County ,2209,Lane Elementary,             115
2022-2023,29,Fairfax County ,1460,Langley High,             183
2022-2023,29,Fairfax County ,2348,Laurel Hill Elementary,              88
2022-2023,29,Fairfax County ,1970,Laurel Ridge Elementary,             155
2022-2023,29,Fairfax County ,1850,Lees Corner Elementary,              90
2022-2023,29,Fairfax County ,770,Lemon Road Elementary,              67
2022-2023,29,Fairfax County ,1020,Lewis High,             267
2022-2023,29,Fairfax County ,2233,Liberty Middle,             161
2022-2023,29,Fairfax County ,1400,Little Run Elementary,              94
2022-2023,29,Fairfax County ,1830,London Towne Elementary,             123
2022-2023,29,Fairfax County ,1150,Longfellow Middle,             127
2022-2023,29,Fairfax County ,2236,Lorton Station Elementary,              89
2022-2023,29,Fairfax County ,890,Lynbrook Elementary,             101
2022-2023,29,Fairfax County ,1060,Madison High,             302
2022-2023,29,Fairfax County ,1210,Mantua Elementary,             130
2022-2023,29,Fairfax County ,1290,Marshall High,             283
2022-2023,29,Fairfax County ,1200,Marshall Road Elementary,             141
2022-2023,29,Fairfax County ,2410,Mason Crest Elementary,             154
2022-2023,29,Fairfax County ,790,McLean High,             272
2022-2023,29,Fairfax County ,2231,McNair Elementary,              87
2022-2023,29,Fairfax County ,2200,McNair Upper Elementary,              55
2022-2023,29,Fairfax County ,1390,Mosaic Elementary,             131
2022-2023,29,Fairfax County ,510,Mount Eagle Elementary,              57
2022-2023,29,Fairfax County ,420,Mount Vernon High,             357
2022-2023,29,Fairfax County ,1640,Mount Vernon Woods Elementary,             101
2022-2023,29,Fairfax County ,2211,Mountain View High,              22
2022-2023,29,Fairfax County ,800,Navy Elementary,              78
2022-2023,29,Fairfax County ,470,Newington Forest Elementary,             103
2022-2023,29,Fairfax County ,930,North Springfield Elementary,             144
2022-2023,29,Fairfax County ,430,Oak Hill Elementary,             113
2022-2023,29,Fairfax County ,1860,Oak View Elementary,             107
2022-2023,29,Fairfax County ,140,Oakton Elementary,             112
2022-2023,29,Fairfax County ,1710,Oakton High,             313
2022-2023,29,Fairfax County ,1650,Olde Creek Elementary,             101
2022-2023,29,Fairfax County ,150,Orange Hunt Elementary,             114
2022-2023,29,Fairfax County ,1030,Parklawn Elementary,              91
2022-2023,29,Fairfax County ,2440,Pimmit Early Childhood Resource Center,              64
2022-2023,29,Fairfax County ,820,Pine Spring Elementary,              95
2022-2023,29,Fairfax County ,1130,Poe Middle,             173
2022-2023,29,Fairfax County ,2080,Poplar Tree Elementary,             107
2022-2023,29,Fairfax County ,2237,Powell Elementary,             109
2022-2023,29,Fairfax County ,2230,Providence Elementary,             114
2022-2023,29,Fairfax County ,1310,Ravensworth Elementary,              93
2022-2023,29,Fairfax County ,1820,Riverside Elementary,             123
2022-2023,29,Fairfax County ,1960,Robinson Secondary,             525
2022-2023,29,Fairfax County ,300,Rocky Run Middle,              96
2022-2023,29,Fairfax County ,1770,Rolling Valley Elementary,             103
2022-2023,29,Fairfax County ,950,Rose Hill Elementary,             167
2022-2023,29,Fairfax County ,1300,Sandburg Middle,             219
2022-2023,29,Fairfax County ,2030,Sangster Elementary,              95
2022-2023,29,Fairfax County ,2040,Saratoga Elementary,             116
2022-2023,29,Fairfax County ,80,Sherman Elementary,              49
2022-2023,29,Fairfax County ,1660,Shrevewood Elementary,             107
2022-2023,29,Fairfax County ,1680,Silverbrook Elementary,             117
2022-2023,29,Fairfax County ,710,Sleepy Hollow Elementary,              86
2022-2023,29,Fairfax County ,2241,South County High,             302
2022-2023,29,Fairfax County ,2420,South County Middle,             129
2022-2023,29,Fairfax County ,1990,South Lakes High,             453
2022-2023,29,Fairfax County ,1620,Spring Hill Elementary,              82
2022-2023,29,Fairfax County ,960,Springfield Estates Elementary,              70
2022-2023,29,Fairfax County ,1380,Stenwood Elementary,             100
2022-2023,29,Fairfax County ,2070,Stone Middle,             126
2022-2023,29,Fairfax County ,1350,Stratford Landing Elementary,             104
2022-2023,29,Fairfax County ,280,Sunrise Valley Elementary,              83
2022-2023,29,Fairfax County ,170,Terra Centre Elementary,             138
2022-2023,29,Fairfax County ,250,Terraset Elementary,             108
2022-2023,29,Fairfax County ,1371,Thomas Jefferson High for Science and Technology,              21
2022-2023,29,Fairfax County ,1140,Thoreau Middle,             187
2022-2023,29,Fairfax County ,830,Timber Lane Elementary,             116
2022-2023,29,Fairfax County ,1160,Twain Middle,             154
2022-2023,29,Fairfax County ,1540,Union Mill Elementary,             132
2022-2023,29,Fairfax County ,120,Vienna Elementary,              76
2022-2023,29,Fairfax County ,2252,Virginia Hills Early Childhood Resource Center,             268
2022-2023,29,Fairfax County ,2050,Virginia Run Elementary,              99
2022-2023,29,Fairfax County ,850,Wakefield Forest Elementary,              84
2022-2023,29,Fairfax County ,2100,Waples Mill Elementary,             155
2022-2023,29,Fairfax County ,1320,Washington Mill Elementary,             103
2022-2023,29,Fairfax County ,1080,Waynewood Elementary,              85
2022-2023,29,Fairfax County ,900,West Potomac High,             448
2022-2023,29,Fairfax County ,1430,West Springfield Elementary,             111
2022-2023,29,Fairfax County ,1610,West Springfield High,             370
2022-2023,29,Fairfax County ,1580,Westbriar Elementary,              64
2022-2023,29,Fairfax County ,2228,Westfield High,             416
2022-2023,29,Fairfax County ,1670,Westgate Elementary,              98
2022-2023,29,Fairfax County ,580,Westlawn Elementary,             108
2022-2023,29,Fairfax County ,520,Weyanoke Elementary,              75
2022-2023,29,Fairfax County ,400,White Oaks Elementary,             125
2022-2023,29,Fairfax County ,1550,Whitman Middle,             161
2022-2023,29,Fairfax County ,2060,Willow Springs Elementary,             121
2022-2023,29,Fairfax County ,1810,Wolftrap Elementary,              56
2022-2023,29,Fairfax County ,650,Woodburn Elementary,              74
2022-2023,29,Fairfax County ,380,Woodlawn Elementary,             107
2022-2023,29,Fairfax County ,590,Woodley Hills Elementary,              85
2022-2023,29,Fairfax County ,1260,Woodson High,             403
2022-2023,109,Falls Church City ,270,Jessie Thackrey  Preschool,              33
2022-2023,109,Falls Church City ,1060,Madison High,<
2022-2023,109,Falls Church City ,252,Mary Ellen Henderson Middle,              66
2022-2023,109,Falls Church City ,251,Meridian High,             116
2022-2023,109,Falls Church City ,240,Mount Daniel Elementary,              55
2022-2023,109,Falls Church City ,260,Oak Street Elementary,              85
2022-2023,30,Fauquier County ,854,Auburn Middle,              74
2022-2023,30,Fauquier County ,460,C. Hunter Ritchie Elementary,             102
2022-2023,30,Fauquier County ,730,C.M. Bradley Elementary,              85
2022-2023,30,Fauquier County ,520,Cedar Lee Middle,              89
2022-2023,30,Fauquier County ,120,Claude Thompson Elementary,              31
2022-2023,30,Fauquier County ,701,Fauquier High,             173
2022-2023,30,Fauquier County ,450,Grace Miller Elementary,              64
2022-2023,30,Fauquier County ,511,Greenville Elementary,              73
2022-2023,30,Fauquier County ,750,H.M. Pearson Elementary,              55
2022-2023,30,Fauquier County ,853,James G. Brumfield Elementary,              90
2022-2023,30,Fauquier County ,510,Kettle Run High,             160
2022-2023,30,Fauquier County ,851,Liberty High,             230
2022-2023,30,Fauquier County ,530,Margaret M. Pierce Elementary,              82
2022-2023,30,Fauquier County ,10,Marshall Middle,              70
2022-2023,30,Fauquier County ,20,Mary Walter Elementary,              57
2022-2023,30,Fauquier County ,720,P.B. Smith Elementary,              76
2022-2023,30,Fauquier County ,670,W.C. Taylor Middle,              76
2022-2023,30,Fauquier County ,740,W.G. Coleman Elementary,              53
2022-2023,30,Fauquier County ,660,Warrenton Middle,              51
2022-2023,31,Floyd County ,90,Check Elementary,              38
2022-2023,31,Floyd County ,660,Floyd County High,             102
2022-2023,31,Floyd County ,360,Floyd Elementary,             110
2022-2023,31,Floyd County ,650,Indian Valley Elementary,              16
2022-2023,31,Floyd County ,500,Willis Elementary,              21
2022-2023,32,Fluvanna County ,300,Carysbrook Elementary,              62
2022-2023,32,Fluvanna County ,310,Central Elementary,             101
2022-2023,32,Fluvanna County ,260,Fluvanna County High,             210
2022-2023,32,Fluvanna County ,320,Fluvanna Middle,             120
2022-2023,135,Franklin City ,20,Franklin High,              55
2022-2023,135,Franklin City ,561,Joseph P. King Jr. Middle,              21
2022-2023,135,Franklin City ,10,S.P. Morton Elementary,              45
2022-2023,33,Franklin County ,31,Benjamin Franklin Middle,             203
2022-2023,33,Franklin County ,1370,Boones Mill Elementary,              37
2022-2023,33,Franklin County ,1320,Burnt Chimney Elementary,              75
2022-2023,33,Franklin County ,350,Callaway Elementary,              36
2022-2023,33,Franklin County ,20,Dudley Elementary,              28
2022-2023,33,Franklin County ,1360,Ferrum Elementary,              39
2022-2023,33,Franklin County ,1311,Franklin County High,             307
2022-2023,33,Franklin County ,690,Glade Hill Elementary,              33
2022-2023,33,Franklin County ,10,Henry Elementary,              34
2022-2023,33,Franklin County ,660,Lee M. Waid Elementary,              75
2022-2023,33,Franklin County ,1380,Rocky Mount Elementary,              80
2022-2023,33,Franklin County ,1170,Snow Creek Elementary,              35
2022-2023,33,Franklin County ,960,Sontag Elementary,              47
2022-2023,33,Franklin County ,980,Windy Gap Elementary,              39
2022-2023,34,Frederick County ,586,Admiral Richard E. Byrd Middle,             121
2022-2023,34,Frederick County ,10,Apple Pie Ridge Elementary,              68
2022-2023,34,Frederick County ,320,Armel Elementary,              70
2022-2023,34,Frederick County ,20,Bass-Hoover Elementary,              79
2022-2023,34,Frederick County ,587,Evendale Elementary,              75
2022-2023,34,Frederick County ,460,Frederick County Middle,             104
2022-2023,34,Frederick County ,380,Gainesboro Elementary,              81
2022-2023,34,Frederick County ,590,Greenwood Mill Elementary,              75
2022-2023,34,Frederick County ,40,Indian Hollow Elementary,              60
2022-2023,34,Frederick County ,30,James Wood High,             197
2022-2023,34,Frederick County ,420,James Wood Middle,             114
2022-2023,34,Frederick County ,591,Jordan Springs Elementary,              74
2022-2023,34,Frederick County ,340,Middletown Elementary,              84
2022-2023,34,Frederick County ,584,Millbrook High,             193
2022-2023,34,Frederick County ,583,Orchard View Elementary,              81
2022-2023,34,Frederick County ,582,Redbud Run Elementary,              75
2022-2023,34,Frederick County ,480,Robert E. Aylor Middle,             103
2022-2023,34,Frederick County ,581,Sherando High,             224
2022-2023,34,Frederick County ,410,Stonewall Elementary,              46
2022-2023,110,Fredericksburg City ,50,Hugh Mercer Elementary,              93
2022-2023,110,Fredericksburg City ,40,James Monroe High,             120
2022-2023,110,Fredericksburg City ,272,Lafayette Elementary,             103
2022-2023,110,Fredericksburg City ,321,Princess Anne High,<
2022-2023,110,Fredericksburg City ,30,Walker-Grant Early Childhood Center,              27
2022-2023,110,Fredericksburg City ,273,Walker-Grant Middle,             112
2022-2023,111,Galax City ,10,Galax Elementary,             120
2022-2023,111,Galax City ,31,Galax High,              50
2022-2023,111,Galax City ,32,Galax Middle,              45
2022-2023,35,Giles County ,10,Eastern Elementary/Middle ,              70
2022-2023,35,Giles County ,461,Giles High,              66
2022-2023,35,Giles County ,390,Macy Mcclaugherty Elementary/Middle,             120
2022-2023,35,Giles County ,400,Narrows Elementary/Middle ,             134
2022-2023,35,Giles County ,470,Narrows High,              63
2022-2023,36,Gloucester County ,250,Abingdon Elementary,              82
2022-2023,36,Gloucester County ,240,Achilles Elementary,              66
2022-2023,36,Gloucester County ,381,Bethel Elementary,             107
2022-2023,36,Gloucester County ,100,Botetourt Elementary,              92
2022-2023,36,Gloucester County ,260,Gloucester High,             205
2022-2023,36,Gloucester County ,802,Page Middle,              77
2022-2023,36,Gloucester County ,280,Peasley Middle,              96
2022-2023,36,Gloucester County ,270,Petsworth Elementary,              67
2022-2023,37,Goochland County ,120,Byrd Elementary,              49
2022-2023,37,Goochland County ,360,Goochland Elementary,              64
2022-2023,37,Goochland County ,220,Goochland High,             103
2022-2023,37,Goochland County ,340,Goochland Middle,              79
2022-2023,37,Goochland County ,260,Randolph Elementary,              61
2022-2023,38,Grayson County ,480,Fairview Elementary,              21
2022-2023,38,Grayson County ,911,Fries Elementary,              59
2022-2023,38,Grayson County ,421,Grayson County High,              73
2022-2023,38,Grayson County ,430,Grayson Highlands,              21
2022-2023,38,Grayson County ,422,Independence Elementary,              46
2022-2023,38,Grayson County ,11,Independence Middle,              56
2022-2023,39,Greene County ,20,Nathanael Greene Elementary,              39
2022-2023,39,Greene County ,10,Nathanael Greene Primary,              69
2022-2023,39,Greene County ,30,Ruckersville Elementary,              54
2022-2023,39,Greene County ,72,William Monroe High,             137
2022-2023,39,Greene County ,71,William Monroe Middle,              86
2022-2023,40,Greensville County ,260,Belfield Elementary,              25
2022-2023,40,Greensville County ,190,Edward W. Wyatt Middle,              68
2022-2023,40,Greensville County ,200,Greensville County High,              84
2022-2023,40,Greensville County ,50,Greensville Elementary,             129
2022-2023,41,Halifax County ,1560,Clays Mill Elementary,              44
2022-2023,41,Halifax County ,20,Cluster Springs Elementary,              78
2022-2023,41,Halifax County ,10,Halifax County High,             248
2022-2023,41,Halifax County ,1480,Halifax County Middle,             147
2022-2023,41,Halifax County ,1550,Meadville Elementary,              25
2022-2023,41,Halifax County ,1510,Scottsburg Elementary,              39
2022-2023,41,Halifax County ,1521,Sinai Elementary,              28
2022-2023,41,Halifax County ,30,South Boston Elementary,             105
2022-2023,41,Halifax County ,950,South Boston/Halifax Early Learning Center,              37
2022-2023,41,Halifax County ,1490,Sydnor Jennings Elementary,              33
2022-2023,112,Hampton City ,500,A.W.E. Bassette Elementary,              51
2022-2023,112,Hampton City ,160,Aberdeen Elementary,              35
2022-2023,112,Hampton City ,470,Albert W. Patrick III Elementary,              74
2022-2023,112,Hampton City ,260,Alfred S. Forrest Elementary,              46
2022-2023,112,Hampton City ,120,Armstrong Elementary,              46
2022-2023,112,Hampton City ,330,Barron Elementary,              59
2022-2023,112,Hampton City ,350,Benjamin Syms Middle,             162
2022-2023,112,Hampton City ,430,Bethel High,             257
2022-2023,112,Hampton City ,450,C. Alton Lindsay Middle,              97
2022-2023,112,Hampton City ,460,Captain John Smith Elementary,              67
2022-2023,112,Hampton City ,300,Cesar Tarrant Middle,             106
2022-2023,112,Hampton City ,420,Christopher C. Kraft Elementary ,              57
2022-2023,112,Hampton City ,30,Francis Asbury Elementary,              56
2022-2023,112,Hampton City ,70,Francis W. Jones Magnet Middle,              61
2022-2023,112,Hampton City ,650,George P. Phenix Elementary,             205
2022-2023,112,Hampton City ,280,Hampton High,             197
2022-2023,112,Hampton City ,640,Hunter B. Andrews,             107
2022-2023,112,Hampton City ,250,Jane H. Bryan Elementary,              40
2022-2023,112,Hampton City ,320,Kecoughtan High,             206
2022-2023,112,Hampton City ,490,Luther W. Machen Elementary ,              53
2022-2023,112,Hampton City ,440,Mary S. Peake Elementary,              34
2022-2023,112,Hampton City ,270,Mary T. Christian Elementary,              33
2022-2023,112,Hampton City ,360,Mary W. Jackson Elementary,              46
2022-2023,112,Hampton City ,210,Moton Early Childhood Center,              43
2022-2023,112,Hampton City ,410,Paul Burbank Elementary,              68
2022-2023,112,Hampton City ,370,Phillips Elementary,              61
2022-2023,112,Hampton City ,50,Phoebus High,             237
2022-2023,112,Hampton City ,180,Samuel P. Langley Elementary,              71
2022-2023,112,Hampton City ,380,Thomas Eaton Middle,              68
2022-2023,112,Hampton City ,80,William Mason Cooper Elementary,              40
2022-2023,42,Hanover County ,62,Atlee High,             195
2022-2023,42,Hanover County ,360,Battlefield Park Elementary,              78
2022-2023,42,Hanover County ,20,Beaverdam Elementary,              46
2022-2023,42,Hanover County ,440,Bell Creek Middle,             155
2022-2023,42,Hanover County ,61,Chickahominy Middle,             135
2022-2023,42,Hanover County ,70,Cold Harbor Elementary,             104
2022-2023,42,Hanover County ,551,Cool Spring Elementary,             131
2022-2023,42,Hanover County ,430,Elmont Elementary,              79
2022-2023,42,Hanover County ,554,Hanover High,             169
2022-2023,42,Hanover County ,150,Henry Clay Elementary,              48
2022-2023,42,Hanover County ,162,John M. Gandy Elementary,              54
2022-2023,42,Hanover County ,200,Kersey Creek Elementary,              99
2022-2023,42,Hanover County ,210,Laurel Meadow Elementary,              84
2022-2023,42,Hanover County ,450,Liberty Middle,             128
2022-2023,42,Hanover County ,420,Mechanicsville Elementary,             136
2022-2023,42,Hanover County ,370,Mechanicsville High,             203
2022-2023,42,Hanover County ,553,Oak Knoll Middle,             144
2022-2023,42,Hanover County ,400,Patrick Henry High,             183
2022-2023,42,Hanover County ,410,Pearson's Corner Elementary,              77
2022-2023,42,Hanover County ,552,Pole Green Elementary,              88
2022-2023,42,Hanover County ,30,Rural Point Elementary,             115
2022-2023,42,Hanover County ,40,South Anna Elementary,              55
2022-2023,42,Hanover County ,290,Washington-Henry Elementary ,              65
2022-2023,113,Harrisonburg City ,120,Bluestone Elementary,              62
2022-2023,113,Harrisonburg City ,12,Harrisonburg High,             159
2022-2023,113,Harrisonburg City ,50,Keister Elementary,              58
2022-2023,113,Harrisonburg City ,111,Skyline Middle,              70
2022-2023,113,Harrisonburg City ,110,Smithland Elementary,              82
2022-2023,113,Harrisonburg City ,60,Spotswood Elementary,              41
2022-2023,113,Harrisonburg City ,191,Stone Spring Elementary,              83
2022-2023,113,Harrisonburg City ,80,Thomas Harrison Middle,              64
2022-2023,113,Harrisonburg City ,30,Waterman Elementary,              65
2022-2023,43,Henrico County ,450,Anthony P. Mehfoud Elementary,              59
2022-2023,43,Henrico County ,320,Arthur Ashe Jr. Elementary ,              78
2022-2023,43,Henrico County ,500,Brookland Middle,             182
2022-2023,43,Henrico County ,120,Cashell Donahoe Elementary,              79
2022-2023,43,Henrico County ,590,Chamberlayne Elementary,              61
2022-2023,43,Henrico County ,530,Charles M. Johnson Elementary,              46
2022-2023,43,Henrico County ,93,Colonial Trail Elementary,              49
2022-2023,43,Henrico County ,400,Crestview Elementary,              61
2022-2023,43,Henrico County ,82,David A. Kaechele Elementary ,              59
2022-2023,43,Henrico County ,160,Deep Run High,             159
2022-2023,43,Henrico County ,410,Douglas S. Freeman High,             221
2022-2023,43,Henrico County ,700,Dumbarton Elementary,              43
2022-2023,43,Henrico County ,300,Echo Lake Elementary,              63
2022-2023,43,Henrico County ,680,Elizabeth Holladay Elementary,              72
2022-2023,43,Henrico County ,92,Elko Middle,             145
2022-2023,43,Henrico County ,200,Fair Oaks Elementary,              87
2022-2023,43,Henrico County ,510,Fairfield Middle,             170
2022-2023,43,Henrico County ,150,Gayton Elementary,              74
2022-2023,43,Henrico County ,470,George F. Baker Elementary,              76
2022-2023,43,Henrico County ,390,George H. Moody Middle,              56
2022-2023,43,Henrico County ,20,Glen Allen Elementary,              73
2022-2023,43,Henrico County ,96,Glen Allen High,             200
2022-2023,43,Henrico County ,380,Glen Lea Elementary,              43
2022-2023,43,Henrico County ,260,Greenwood Elementary ,              89
2022-2023,43,Henrico County ,420,Harold Macon Ratcliffe Elementary,              77
2022-2023,43,Henrico County ,94,Harvie Elementary,              97
2022-2023,43,Henrico County ,610,Henrico High,             224
2022-2023,43,Henrico County ,83,Henrico Virtual Academy,             169
2022-2023,43,Henrico County ,330,Henry D. Ward Elementary,              85
2022-2023,43,Henrico County ,670,Hermitage High,             267
2022-2023,43,Henrico County ,640,Highland Springs Elementary,              76
2022-2023,43,Henrico County ,190,Highland Springs High,             355
2022-2023,43,Henrico County ,95,Holman Middle ,              87
2022-2023,43,Henrico County ,100,Hungary Creek Middle ,             136
2022-2023,43,Henrico County ,620,Jackson Davis Elementary,              76
2022-2023,43,Henrico County ,660,Jacob L. Adams Elementary,              60
2022-2023,43,Henrico County ,600,John Randolph Tucker High,             217
2022-2023,43,Henrico County ,130,John Rolfe Middle,             159
2022-2023,43,Henrico County ,250,L. Douglas Wilder Middle,             107
2022-2023,43,Henrico County ,430,Laburnum Elementary,              56
2022-2023,43,Henrico County ,370,Lakeside Elementary,              70
2022-2023,43,Henrico County ,50,Longdale Elementary,              89
2022-2023,43,Henrico County ,490,Maude Trevvett Elementary,              51
2022-2023,43,Henrico County ,540,Maybeury Elementary,              75
2022-2023,43,Henrico County ,140,Mills E. Godwin High,             186
2022-2023,43,Henrico County ,210,Montrose Elementary,              35
2022-2023,43,Henrico County ,270,Nuckols Farm Elementary,              75
2022-2023,43,Henrico County ,440,Pemberton Elementary,              71
2022-2023,43,Henrico County ,570,Pinchbeck Elementary,              62
2022-2023,43,Henrico County ,280,Pocahontas Middle,              92
2022-2023,43,Henrico County ,690,Quioccasin Middle,             151
2022-2023,43,Henrico County ,630,R.C. Longan Elementary,              67
2022-2023,43,Henrico County ,90,Ridge Elementary,              38
2022-2023,43,Henrico County ,240,Rivers Edge Elementary,              55
2022-2023,43,Henrico County ,650,Ruby F. Carver Elementary,              66
2022-2023,43,Henrico County ,220,Sandston Elementary,              37
2022-2023,43,Henrico County ,550,Seven Pines Elementary,              57
