School Year,Division Name,fips_code,School Number,School Name,Total Count
2021-2022,Arlington County,51013,614,Hoffman-Boston Elementary,82
2021-2022,Arlington County,51013,613,Innovation Elementary,35
2021-2022,Arlington County,51013,37,Integration Station,38
2021-2022,Arlington County,51013,440,Jamestown Elementary,70
2021-2022,Arlington County,51013,180,Jefferson Middle,179
2021-2022,Arlington County,51013,500,Kenmore Middle,228
2021-2022,Arlington County,51013,460,Long Branch Elementary,55
2021-2022,Arlington County,51013,627,Montessori Public School of Arlington,55
2021-2022,Arlington County,51013,410,Nottingham Elementary,52
2021-2022,Arlington County,51013,360,Oakridge Elementary,61
2021-2022,Arlington County,51013,510,Randolph Elementary,86
2021-2022,Arlington County,51013,240,Swanson Middle,137
2021-2022,Arlington County,51013,420,Taylor Elementary,63
2021-2022,Arlington County,51013,211,Tuckahoe Elementary,49
2021-2022,Arlington County,51013,450,Wakefield High,544
2021-2022,Arlington County,51013,80,Washington-Liberty High,401
2021-2022,Arlington County,51013,480,Williamsburg Middle,113
2021-2022,Arlington County,51013,330,Yorktown High,413
2021-2022,Augusta County,51015,212,Beverley Manor Middle,54
2021-2022,Augusta County,51015,660,Buffalo Gap High,49
2021-2022,Augusta County,51015,30,Cassell Elementary,68
2021-2022,Augusta County,51015,140,Churchville Elementary,30
2021-2022,Augusta County,51015,370,Craigsville Elementary,14
2021-2022,Augusta County,51015,842,Edward G. Clymore Elementary,57
2021-2022,Augusta County,51015,670,Fort Defiance High,80
2021-2022,Augusta County,51015,843,Guy K. Stump Elementary,34
2021-2022,Augusta County,51015,40,North River Elementary,16
2021-2022,Augusta County,51015,740,Riverheads Elementary,57
2021-2022,Augusta County,51015,680,Riverheads High,43
2021-2022,Augusta County,51015,90,S. Gordon Stewart Middle,45
2021-2022,Augusta County,51015,440,Stuarts Draft Elementary,49
2021-2022,Augusta County,51015,730,Stuarts Draft High,87
2021-2022,Augusta County,51015,60,Stuarts Draft Middle,57
2021-2022,Augusta County,51015,640,Wilson Elementary,83
2021-2022,Augusta County,51015,720,Wilson Memorial High,87
2021-2022,Augusta County,51015,844,Wilson Middle,84
2021-2022,Bath County,51017,140,Bath County High,22
2021-2022,Bath County,51017,120,Millboro Elementary,32
2021-2022,Bath County,51017,150,Valley Elementary,33
2021-2022,Bedford County,51019,480,Bedford Elementary,53
2021-2022,Bedford County,51019,1200,Bedford Primary,73
2021-2022,Bedford County,51019,30,Big Island Elementary,14
2021-2022,Bedford County,51019,160,Boonsboro Elementary,29
2021-2022,Bedford County,51019,500,Forest Elementary,22
2021-2022,Bedford County,51019,1211,Forest Middle,77
2021-2022,Bedford County,51019,1214,Goodview Elementary,76
2021-2022,Bedford County,51019,980,Huddleston Elementary,27
2021-2022,Bedford County,51019,1212,Jefferson Forest High,115
2021-2022,Bedford County,51019,1180,Liberty High,117
2021-2022,Bedford County,51019,490,Liberty Middle,92
2021-2022,Bedford County,51019,970,Moneta Elementary,22
2021-2022,Bedford County,51019,180,Montvale Elementary,36
2021-2022,Bedford County,51019,610,New London Academy Elementary,54
2021-2022,Bedford County,51019,1170,Otter River Elementary,25
2021-2022,Bedford County,51019,1190,Staunton River High,123
2021-2022,Bedford County,51019,1191,Staunton River Middle,81
2021-2022,Bedford County,51019,640,Stewartsville Elementary,44
2021-2022,Bedford County,51019,1213,Thomas Jefferson Elementary,49
2021-2022,Bland County,51021,250,Bland County Elementary,62
2021-2022,Bland County,51021,260,Bland County High,77
2021-2022,Botetourt County,51023,220,Breckinridge Elementary,32
2021-2022,Botetourt County,51023,20,Buchanan Elementary,74
2021-2022,Botetourt County,51023,420,Central Academy Middle,55
2021-2022,Botetourt County,51023,390,Cloverdale Elementary,34
2021-2022,Botetourt County,51023,400,Colonial Elementary,90
2021-2022,Botetourt County,51023,30,Eagle Rock Elementary,24
2021-2022,Botetourt County,51023,460,Greenfield Elementary,95
2021-2022,Botetourt County,51023,430,James River High,61
2021-2022,Botetourt County,51023,440,Lord Botetourt High,100
2021-2022,Botetourt County,51023,450,Read Mountain Middle,92
2021-2022,Botetourt County,51023,40,Troutville Elementary,48
2021-2022,Bristol City,51520,60,Highland View Elementary,35
2021-2022,Bristol City,51520,100,Joseph Van Pelt Elementary,121
2021-2022,Bristol City,51520,70,Stonewall Jackson Elementary,29
2021-2022,Bristol City,51520,80,Virginia High,98
2021-2022,Bristol City,51520,10,Virginia Middle,94
2021-2022,Bristol City,51520,90,Washington-Lee Elementary,44
2021-2022,Brunswick County,51025,650,Brunswick High,67
2021-2022,Brunswick County,51025,660,James S. Russell Middle,49
2021-2022,Brunswick County,51025,690,Meherrin Powellton Elementary,18
2021-2022,Brunswick County,51025,700,Red Oak-Sturgeon Elementary,32
2021-2022,Brunswick County,51025,720,Totaro Elementary,23
2021-2022,Buchanan County,51027,90,Council Elementary/Middle,27
2021-2022,Buchanan County,51027,1000,Council High,27
2021-2022,Buchanan County,51027,990,Grundy High,65
2021-2022,Buchanan County,51027,120,Hurley Elementary/Middle,66
2021-2022,Buchanan County,51027,1020,Hurley High,36
2021-2022,Buchanan County,51027,1040,Riverview Elementary/Middle,130
2021-2022,Buchanan County,51027,1041,Twin Valley Elementary/Middle,41
2021-2022,Buchanan County,51027,1042,Twin Valley High,32
2021-2022,Buckingham County,51029,724,Buckingham Co Elementary,60
2021-2022,Buckingham County,51029,20,Buckingham Co Prekindergarten Center,21
2021-2022,Buckingham County,51029,723,Buckingham Co Primary,51
2021-2022,Buckingham County,51029,700,Buckingham County High,89
2021-2022,Buckingham County,51029,721,Buckingham County Middle,72
2021-2022,Buena Vista City,51530,40,Enderly Heights Elementary,32
2021-2022,Buena Vista City,51530,70,F.W. Kling Jr. Elementary,64
2021-2022,Buena Vista City,51530,62,Parry McCluer High,52
2021-2022,Buena Vista City,51530,61,Parry McCluer Middle,26
2021-2022,Campbell County,51031,560,Altavista Elementary,60
2021-2022,Campbell County,51031,200,Altavista High,105
2021-2022,Campbell County,51031,650,Brookneal Elementary,49
2021-2022,Campbell County,51031,720,Brookville High,120
2021-2022,Campbell County,51031,20,Brookville Middle,96
2021-2022,Campbell County,51031,130,Concord Elementary,51
2021-2022,Campbell County,51031,690,Leesville Road Elementary,81
2021-2022,Campbell County,51031,821,Rustburg Elementary,57
2021-2022,Campbell County,51031,222,Rustburg High,103
2021-2022,Campbell County,51031,211,Rustburg Middle,90
2021-2022,Campbell County,51031,60,Tomahawk Elementary,103
2021-2022,Campbell County,51031,542,William Campbell High,58
2021-2022,Campbell County,51031,710,Yellow Branch Elementary,115
2021-2022,Caroline County,51033,620,Bowling Green Elementary,109
2021-2022,Caroline County,51033,460,Caroline High,165
2021-2022,Caroline County,51033,450,Caroline Middle,119
2021-2022,Caroline County,51033,9020,Lewis and Clark Elementary,100
2021-2022,Caroline County,51033,630,Madison Elementary,52
2021-2022,Carroll County,51035,1230,Carroll County High,176
2021-2022,Carroll County,51035,450,Carroll County Middle,127
2021-2022,Carroll County,51035,1180,Fancy Gap Elementary,16
2021-2022,Carroll County,51035,1150,Gladesboro Elementary,10
2021-2022,Carroll County,51035,1210,Gladeville Elementary,54
2021-2022,Carroll County,51035,1170,Hillsville Elementary,112
2021-2022,Carroll County,51035,1160,Laurel Elementary,36
2021-2022,Carroll County,51035,1130,Oakland Elementary,35
2021-2022,Carroll County,51035,1110,St. Paul,59
2021-2022,Charles City County,51036,80,Charles City County Elementary,67
2021-2022,Charles City County,51036,100,Charles City County High,38
2021-2022,Charlotte County,51037,470,Bacon District Elementary,22
2021-2022,Charlotte County,51037,210,Central Middle,52
2021-2022,Charlotte County,51037,100,Eureka Elementary,34
2021-2022,Charlotte County,51037,450,Phenix Elementary,22
2021-2022,Charlotte County,51037,460,Randolph-Henry High,80
2021-2022,Charlottesville City,51540,100,Buford Middle,103
2021-2022,Charlottesville City,51540,70,Burnley-Moran Elementary,43
2021-2022,Charlottesville City,51540,140,Charlottesville High,181
2021-2022,Charlottesville City,51540,50,Clark Elementary,38
2021-2022,Charlottesville City,51540,90,Greenbrier Elementary,32
2021-2022,Charlottesville City,51540,120,Jackson-Via Elementary,67
2021-2022,Charlottesville City,51540,10,Johnson Elementary,32
2021-2022,Charlottesville City,51540,40,Venable Elementary,30
2021-2022,Charlottesville City,51540,110,Walker Upper Elementary,92
2021-2022,Chesapeake City,51550,630,B.M. Williams Primary,157
2021-2022,Chesapeake City,51550,860,Butts Road Intermediate,125
2021-2022,Chesapeake City,51550,770,Butts Road Primary,99
2021-2022,Chesapeake City,51550,90,Camelot Elementary,55
2021-2022,Chesapeake City,51550,900,Cedar Road Elementary,116
2021-2022,Chesapeake City,51550,700,Crestwood Intermediate,110
2021-2022,Chesapeake City,51550,560,Crestwood Middle,97
2021-2022,Chesapeake City,51550,660,Deep Creek Central Elementary,148
2021-2022,Chesapeake City,51550,210,Deep Creek Elementary,148
2021-2022,Chesapeake City,51550,100,Deep Creek High,261
2021-2022,Chesapeake City,51550,610,Deep Creek Middle,147
2021-2022,Chesapeake City,51550,640,Edwin W. Chittum Elementary,159
2021-2022,Chesapeake City,51550,720,G.A. Treakle Elementary,83
2021-2022,Chesapeake City,51550,50,George W. Carver Intermediate,87
2021-2022,Chesapeake City,51550,820,Georgetown Primary,114
2021-2022,Chesapeake City,51550,950,Grassfield Elementary,186
2021-2022,Chesapeake City,51550,960,Grassfield High,231
2021-2022,Chesapeake City,51550,120,Great Bridge High,229
2021-2022,Chesapeake City,51550,850,Great Bridge Intermediate,82
2021-2022,Chesapeake City,51550,590,Great Bridge Middle,138
2021-2022,Chesapeake City,51550,680,Great Bridge Primary,97
2021-2022,Chesapeake City,51550,870,Greenbrier Intermediate,99
2021-2022,Chesapeake City,51550,972,Greenbrier Middle,173
2021-2022,Chesapeake City,51550,140,Greenbrier Primary,139
2021-2022,Chesapeake City,51550,340,Hickory Elementary,88
2021-2022,Chesapeake City,51550,890,Hickory High,247
2021-2022,Chesapeake City,51550,280,Hickory Middle,210
2021-2022,Chesapeake City,51550,920,Hugo A. Owens Middle,173
2021-2022,Chesapeake City,51550,830,Indian River High,317
2021-2022,Chesapeake City,51550,710,Indian River Middle,147
2021-2022,Chesapeake City,51550,973,Jolliff Middle,138
2021-2022,Chesapeake City,51550,160,Norfolk Highlands Primary,38
2021-2022,Chesapeake City,51550,80,Oscar F. Smith High,427
2021-2022,Chesapeake City,51550,10,Oscar Smith Middle,212
2021-2022,Chesapeake City,51550,730,Portlock Primary,83
2021-2022,Chesapeake City,51550,200,Rena B. Wright Primary,39
2021-2022,Chesapeake City,51550,620,Southeastern Elementary,168
2021-2022,Chesapeake City,51550,600,Southwestern Elementary,87
2021-2022,Chesapeake City,51550,750,Sparrow Road Intermediate,79
2021-2022,Chesapeake City,51550,40,Thurgood Marshall Elementary,50
2021-2022,Chesapeake City,51550,971,Truitt Intermediate,50
2021-2022,Chesapeake City,51550,840,Western Branch High,401
2021-2022,Chesapeake City,51550,810,Western Branch Intermediate,117
2021-2022,Chesapeake City,51550,740,Western Branch Middle,152
2021-2022,Chesapeake City,51550,110,Western Branch Primary,127
2021-2022,Chesterfield County,51041,620,A.M. Davis Elementary,111
2021-2022,Chesterfield County,51041,861,Alberta Smith Elementary,104
2021-2022,Chesterfield County,51041,631,Bailey Bridge Middle,246
2021-2022,Chesterfield County,51041,660,Bellwood Elementary,64
2021-2022,Chesterfield County,51041,430,Bensley Elementary,79
2021-2022,Chesterfield County,51041,510,Bettie Weaver Elementary,72
2021-2022,Chesterfield County,51041,130,Beulah Elementary,94
2021-2022,Chesterfield County,51041,20,Bon Air Elementary,118
2021-2022,Chesterfield County,51041,50,C.C. Wells Elementary,93
2021-2022,Chesterfield County,51041,492,C.E. Curtis Elementary,81
2021-2022,Chesterfield County,51041,30,Carver College and Career Academy,59
2021-2022,Chesterfield County,51041,420,Carver Middle,180
2021-2022,Chesterfield County,51041,33,Chester Early Childhood Learning Academy,73
2021-2022,Chesterfield County,51041,150,Clover Hill Elementary,112
2021-2022,Chesterfield County,51041,740,Clover Hill High,206
2021-2022,Chesterfield County,51041,840,Cosby High,198
2021-2022,Chesterfield County,51041,560,Crestwood Elementary,69
2021-2022,Chesterfield County,51041,480,Ecoff Elementary,82
2021-2022,Chesterfield County,51041,870,Elizabeth Davis Middle,170
2021-2022,Chesterfield County,51041,850,Elizabeth Scott Elementary,77
2021-2022,Chesterfield County,51041,390,Enon Elementary,93
2021-2022,Chesterfield County,51041,350,Ettrick Elementary,65
2021-2022,Chesterfield County,51041,300,Evergreen Elementary,160
2021-2022,Chesterfield County,51041,590,Falling Creek Elementary,74
2021-2022,Chesterfield County,51041,670,Falling Creek Middle,180
2021-2022,Chesterfield County,51041,390,Granby High,<
2021-2022,Chesterfield County,51041,180,Grange Hall Elementary,106
2021-2022,Chesterfield County,51041,70,Greenfield Elementary,66
2021-2022,Chesterfield County,51041,460,Harrowgate Elementary,71
2021-2022,Chesterfield County,51041,60,Hopkins Road Elementary,68
2021-2022,Chesterfield County,51041,550,J.A. Chalkley Elementary,91
2021-2022,Chesterfield County,51041,650,J.B. Watkins Elementary,81
2021-2022,Chesterfield County,51041,500,J.G. Hening Elementary,123
2021-2022,Chesterfield County,51041,400,Jacobs Road Elementary,117
2021-2022,Chesterfield County,51041,770,James River High,219
2021-2022,Chesterfield County,51041,10,Lloyd C. Bird High,254
2021-2022,Chesterfield County,51041,632,Manchester High,344
2021-2022,Chesterfield County,51041,600,Manchester Middle,141
2021-2022,Chesterfield County,51041,780,Marguerite F. Christian Elementary,81
2021-2022,Chesterfield County,51041,370,Matoaca Elementary,75
2021-2022,Chesterfield County,51041,530,Matoaca High,202
2021-2022,Chesterfield County,51041,110,Matoaca Middle,120
2021-2022,Chesterfield County,51041,580,Meadowbrook High,210
2021-2022,Chesterfield County,51041,320,Midlothian High,224
2021-2022,Chesterfield County,51041,40,Midlothian Middle,128
2021-2022,Chesterfield County,51041,280,Monacan High,171
2021-2022,Chesterfield County,51041,360,O.B. Gates Elementary,116
2021-2022,Chesterfield County,51041,90,Old Hundred Elementary,124
2021-2022,Chesterfield County,51041,380,Providence Elementary,101
2021-2022,Chesterfield County,51041,690,Providence Middle,138
2021-2022,Chesterfield County,51041,700,Reams Road Elementary,78
2021-2022,Chesterfield County,51041,730,Robious Elementary,103
2021-2022,Chesterfield County,51041,760,Robious Middle,157
2021-2022,Chesterfield County,51041,720,Salem Church Elementary,57
2021-2022,Chesterfield County,51041,722,Salem Church Middle,141
2021-2022,Chesterfield County,51041,800,Spring Run Elementary,126
2021-2022,Chesterfield County,51041,340,Swift Creek Elementary,100
2021-2022,Chesterfield County,51041,270,Swift Creek Middle,120
2021-2022,Chesterfield County,51041,410,Thelma Crenshaw Elementary,98
2021-2022,Chesterfield County,51041,610,Thomas Dale High,346
2021-2022,Chesterfield County,51041,880,Tomahawk Creek Middle,183
2021-2022,Chesterfield County,51041,290,W.W. Gordon Elementary,66
2021-2022,Chesterfield County,51041,860,Winterpock Elementary,148
2021-2022,Chesterfield County,51041,440,Woolridge Elementary,128
2021-2022,Clarke County,51043,250,Boyce Elementary,40
2021-2022,Clarke County,51043,10,Clarke County High,70
2021-2022,Clarke County,51043,290,D.G. Cooley Elementary,44
2021-2022,Clarke County,51043,280,Johnson-Williams Middle,53
2021-2022,Colonial Beach,NA,22,Colonial Beach Elementary,62
2021-2022,Colonial Beach,NA,21,Colonial Beach High,30
2021-2022,Colonial Heights City,51570,40,Colonial Heights High,138
2021-2022,Colonial Heights City,51570,20,Colonial Heights Middle,131
2021-2022,Colonial Heights City,51570,50,Lakeview Elementary,62
2021-2022,Colonial Heights City,51570,30,North Elementary,35
2021-2022,Colonial Heights City,51570,60,Tussing Elementary,105
2021-2022,Covington City,51580,350,Covington High,72
2021-2022,Covington City,51580,260,Edgemont Primary,69
2021-2022,Covington City,51580,360,Jeter-Watson Intermediate,63
2021-2022,Craig County,51045,11,Craig County High,67
2021-2022,Craig County,51045,10,McCleary Elementary,68
2021-2022,Culpeper County,51047,240,A.G. Richardson Elementary,96
2021-2022,Culpeper County,51047,480,Culpeper County High,128
2021-2022,Culpeper County,51047,20,Culpeper Middle,108
2021-2022,Culpeper County,51047,50,Eastern View High,124
2021-2022,Culpeper County,51047,450,Emerald Hill Elementary,81
2021-2022,Culpeper County,51047,470,Farmington Elementary,51
2021-2022,Culpeper County,51047,581,Floyd T. Binns Middle,75
2021-2022,Culpeper County,51047,582,Galbreath-Marshall Building,18
2021-2022,Culpeper County,51047,10,Pearl Sample Elementary,87
2021-2022,Culpeper County,51047,460,Sycamore Park Elementary,77
2021-2022,Culpeper County,51047,40,Yowell Elementary,91
2021-2022,Cumberland County,51049,140,Cumberland Elementary,64
2021-2022,Cumberland County,51049,151,Cumberland High,55
2021-2022,Cumberland County,51049,152,Cumberland Middle,41
2021-2022,Danville City,51590,490,Edwin A. Gibson Elementary,94
2021-2022,Danville City,51590,20,Forest Hills Elementary,23
2021-2022,Danville City,51590,190,G.L.H. Johnson Elementary,51
2021-2022,Danville City,51590,1374,Galileo Magnet High,21
2021-2022,Danville City,51590,210,George Washington High,236
2021-2022,Danville City,51590,200,Grove Park Preschool,33
2021-2022,Danville City,51590,260,O. Trent Bonner Middle,98
2021-2022,Danville City,51590,250,Park Avenue Elementary,58
2021-2022,Danville City,51590,40,Schoolfield Elementary,66
2021-2022,Danville City,51590,30,The Northside Preschool,21
2021-2022,Danville City,51590,1372,Westwood Middle,104
2021-2022,Danville City,51590,220,Woodberry Hills Elementary,67
2021-2022,Dickenson County,51051,20,Clintwood Elementary,54
2021-2022,Dickenson County,51051,530,Ervinton Elementary,31
2021-2022,Dickenson County,51051,275,Ridgeview High,110
2021-2022,Dickenson County,51051,280,Ridgeview Middle,69
2021-2022,Dickenson County,51051,860,Sandlick Elementary,67
2021-2022,Dinwiddie County,51053,500,Dinwiddie County High,209
2021-2022,Dinwiddie County,51053,471,Dinwiddie County Middle,151
2021-2022,Dinwiddie County,51053,310,Dinwiddie Elementary,72
2021-2022,Dinwiddie County,51053,250,Midway Elementary,35
2021-2022,Dinwiddie County,51053,10,Southside Elementary,59
2021-2022,Dinwiddie County,51053,180,Sunnyside Elementary,35
2021-2022,Dinwiddie County,51053,520,Sutherland Elementary,50
2021-2022,Essex County,51057,10,Essex High,78
2021-2022,Essex County,51057,150,James H. Cary Intermediate,65
2021-2022,Essex County,51057,160,Tappahannock Elementary,44
2021-2022,Fairfax County,51059,2203,Aldrin Elementary,109
2021-2022,Fairfax County,51059,660,Annandale High,390
2021-2022,Fairfax County,51059,1360,Annandale Terrace Elementary,79
2021-2022,Fairfax County,51059,110,Archer Elementary,68
2021-2022,Fairfax County,51059,1530,Armstrong Elementary,101
2021-2022,Fairfax County,51059,550,Bailey's Elementary School for the Arts and Sciences,92
2021-2022,Fairfax County,51059,2459,Bailey's Upper Elementary School for the Arts and Sciences,77
2021-2022,Fairfax County,51059,1730,Beech Tree Elementary,61
2021-2022,Fairfax County,51059,560,Belle View Elementary,96
2021-2022,Fairfax County,51059,720,Belvedere Elementary,108
2021-2022,Fairfax County,51059,2000,Bonnie Brae Elementary,135
2021-2022,Fairfax County,51059,1090,Braddock Elementary,107
2021-2022,Fairfax County,51059,940,Bren Mar Park Elementary,76
2021-2022,Fairfax County,51059,1790,Brookfield Elementary,90
2021-2022,Fairfax County,51059,2201,Bryant High,13
2021-2022,Fairfax County,51059,700,Bucknell Elementary,61
2021-2022,Fairfax County,51059,2251,Bull Run Early Childhood Resource Center,210
2021-2022,Fairfax County,51059,2225,Bull Run Elementary,101
2021-2022,Fairfax County,51059,680,Bush Hill Elementary,119
2021-2022,Fairfax County,51059,1940,Camelot Elementary,108
2021-2022,Fairfax County,51059,620,Cameron Elementary,67
2021-2022,Fairfax County,51059,1590,Canterbury Woods Elementary,116
2021-2022,Fairfax County,51059,1690,Cardinal Forest Elementary,129
2021-2022,Fairfax County,51059,2222,Carson Middle,136
2021-2022,Fairfax County,51059,2090,Centre Ridge Elementary,91
2021-2022,Fairfax County,51059,2205,Centreville Elementary,129
2021-2022,Fairfax County,51059,200,Centreville High,337
2021-2022,Fairfax County,51059,131,Chantilly High,449
2021-2022,Fairfax County,51059,480,Cherry Run Elementary,83
2021-2022,Fairfax County,51059,100,Chesterbrook Elementary,74
2021-2022,Fairfax County,51059,1050,Churchill Road Elementary,64
2021-2022,Fairfax County,51059,260,Clearview Elementary,108
2021-2022,Fairfax County,51059,1870,Clermont Elementary,62
2021-2022,Fairfax County,51059,2347,Coates Elementary,90
2021-2022,Fairfax County,51059,1510,Columbia Elementary,63
2021-2022,Fairfax County,51059,2234,Colvin Run Elementary,94
2021-2022,Fairfax County,51059,1190,Cooper Middle,113
2021-2022,Fairfax County,51059,870,Crestwood Elementary,58
2021-2022,Fairfax County,51059,2020,Crossfield Elementary,88
2021-2022,Fairfax County,51059,1600,Cub Run Elementary,114
2021-2022,Fairfax County,51059,1700,Cunningham Park Elementary,95
2021-2022,Fairfax County,51059,2229,Daniels Run Elementary,150
2021-2022,Fairfax County,51059,2204,Deer Park Elementary,131
2021-2022,Fairfax County,51059,220,Dogwood Elementary,109
2021-2022,Fairfax County,51059,2010,Dranesville Elementary,142
2021-2022,Fairfax County,51059,2238,Dunn Loring Early Childhood Resource Center,258
2021-2022,Fairfax County,51059,2243,Eagle View Elementary,125
2021-2022,Fairfax County,51059,1270,Edison High,317
2021-2022,Fairfax County,51059,20,Fairfax High,280
2021-2022,Fairfax County,51059,1480,Fairfax Villa Elementary,103
2021-2022,Fairfax County,51059,1630,Fairhill Elementary,63
2021-2022,Fairfax County,51059,290,Fairview Elementary,93
2021-2022,Fairfax County,51059,1100,Falls Church High,332
2021-2022,Fairfax County,51059,730,Flint Hill Elementary,94
2021-2022,Fairfax County,51059,740,Floris Elementary,89
2021-2022,Fairfax County,51059,70,Forest Edge Elementary,87
2021-2022,Fairfax County,51059,1450,Forestdale Elementary,110
2021-2022,Fairfax County,51059,370,Forestville Elementary,73
2021-2022,Fairfax County,51059,2224,Fort Belvoir Elementary,128
2021-2022,Fairfax County,51059,2458,Fort Belvoir Upper Elementary,121
2021-2022,Fairfax County,51059,1920,Fort Hunt Elementary,77
2021-2022,Fairfax County,51059,390,Fox Mill Elementary,85
