School Year,Division Name,fips_code,School Number,School Name,Total Count
2022-2023,Alexandria City,51510,110,Douglas MacArthur Elementary,59
2022-2023,Alexandria City,51510,360,Early Childhood Center,61
2022-2023,Alexandria City,51510,350,Ferdinand T. Day Elementary,48
2022-2023,Alexandria City,51510,140,Francis C. Hammond Middle,172
2022-2023,Alexandria City,51510,100,George Mason Elementary,33
2022-2023,Alexandria City,51510,130,George Washington Middle,178
2022-2023,Alexandria City,51510,220,James K. Polk Elementary,80
2022-2023,Alexandria City,51510,90,Jefferson-Houston PK-8 School,125
2022-2023,Alexandria City,51510,230,John Adams Elementary,71
2022-2023,Alexandria City,51510,80,Lyles-Crouch Elementary,40
2022-2023,Alexandria City,51510,30,Mount Vernon Elementary,70
2022-2023,Alexandria City,51510,60,Naomi L. Brooks Elementary,36
2022-2023,Alexandria City,51510,50,Patrick Henry K-8 School,88
2022-2023,Alexandria City,51510,333,Samuel W. Tucker Elementary,68
2022-2023,Alexandria City,51510,190,William Ramsay Elementary,64
2022-2023,Amelia County,51007,220,Amelia County Elementary,85
2022-2023,Amelia County,51007,10,Amelia County High,62
2022-2023,Amelia County,51007,210,Amelia County Middle,42
2022-2023,Amherst County,51009,780,Amelon Elementary,80
2022-2023,Amherst County,51009,750,Amherst County High,166
2022-2023,Amherst County,51009,790,Amherst Elementary,41
2022-2023,Amherst County,51009,670,Amherst Middle,57
2022-2023,Amherst County,51009,770,Central Elementary,83
2022-2023,Amherst County,51009,760,Elon Elementary,48
2022-2023,Amherst County,51009,500,Madison Heights Elementary,64
2022-2023,Amherst County,51009,20,Monelison Middle,72
2022-2023,Amherst County,51009,740,Temperance Elementary,11
2022-2023,Appomattox County,51011,260,Appomattox County High,82
2022-2023,Appomattox County,51011,110,Appomattox Elementary,69
2022-2023,Appomattox County,51011,160,Appomattox Middle,60
2022-2023,Appomattox County,51011,250,Appomattox Primary,78
2022-2023,Arlington County,51013,350,Abingdon Elementary,89
2022-2023,Arlington County,51013,160,Alice West Fleet Elementary,95
2022-2023,Arlington County,51013,618,Arlington Community High,<
2022-2023,Arlington County,51013,629,Arlington Science Focus School,42
2022-2023,Arlington County,51013,470,Arlington Traditional,53
2022-2023,Arlington County,51013,490,Ashlawn Elementary,79
2022-2023,Arlington County,51013,150,Barcroft Elementary,75
2022-2023,Arlington County,51013,250,Barrett Elementary,110
2022-2023,Arlington County,51013,615,Campbell Elementary,68
2022-2023,Arlington County,51013,380,Cardinal Elementary,61
2022-2023,Arlington County,51013,90,Carlin Springs Elementary,99
2022-2023,Arlington County,51013,622,Claremont Immersion,74
2022-2023,Arlington County,51013,626,Discovery Elementary,74
2022-2023,Arlington County,51013,628,Dorothy Hamm Middle,125
2022-2023,Arlington County,51013,200,Dr. Charles R. Drew Elementary,107
2022-2023,Arlington County,51013,111,Escuela Key Elementary,58
2022-2023,Arlington County,51013,100,Glebe Elementary,54
2022-2023,Arlington County,51013,611,Gunston Middle,154
2022-2023,Arlington County,51013,614,Hoffman-Boston Elementary,83
2022-2023,Arlington County,51013,613,Innovation Elementary,53
2022-2023,Arlington County,51013,37,Integration Station,39
2022-2023,Arlington County,51013,440,Jamestown Elementary,63
2022-2023,Arlington County,51013,180,Jefferson Middle,192
2022-2023,Arlington County,51013,500,Kenmore Middle,216
2022-2023,Arlington County,51013,460,Long Branch Elementary,60
2022-2023,Arlington County,51013,627,Montessori Public School of Arlington,68
2022-2023,Arlington County,51013,410,Nottingham Elementary,59
2022-2023,Arlington County,51013,360,Oakridge Elementary,64
2022-2023,Arlington County,51013,510,Randolph Elementary,82
2022-2023,Arlington County,51013,240,Swanson Middle,141
2022-2023,Arlington County,51013,420,Taylor Elementary,59
2022-2023,Arlington County,51013,1371,Thomas Jefferson High for Science and Technology,<
2022-2023,Arlington County,51013,211,Tuckahoe Elementary,59
2022-2023,Arlington County,51013,450,Wakefield High,537
2022-2023,Arlington County,51013,80,Washington-Liberty High,406
2022-2023,Arlington County,51013,480,Williamsburg Middle,120
2022-2023,Arlington County,51013,330,Yorktown High,405
2022-2023,Augusta County,51015,212,Beverley Manor Middle,66
2022-2023,Augusta County,51015,660,Buffalo Gap High,42
2022-2023,Augusta County,51015,30,Cassell Elementary,73
2022-2023,Augusta County,51015,140,Churchville Elementary,39
2022-2023,Augusta County,51015,370,Craigsville Elementary,20
2022-2023,Augusta County,51015,842,Edward G. Clymore Elementary,71
2022-2023,Augusta County,51015,670,Fort Defiance High,87
2022-2023,Augusta County,51015,843,Guy K. Stump Elementary,51
2022-2023,Augusta County,51015,40,North River Elementary,13
2022-2023,Augusta County,51015,740,Riverheads Elementary,89
2022-2023,Augusta County,51015,680,Riverheads High,39
2022-2023,Augusta County,51015,90,S. Gordon Stewart Middle,40
2022-2023,Augusta County,51015,440,Stuarts Draft Elementary,61
2022-2023,Augusta County,51015,730,Stuarts Draft High,87
2022-2023,Augusta County,51015,60,Stuarts Draft Middle,66
2022-2023,Augusta County,51015,640,Wilson Elementary,91
2022-2023,Augusta County,51015,720,Wilson Memorial High,85
2022-2023,Augusta County,51015,844,Wilson Middle,94
2022-2023,Bath County,51017,140,Bath County High,27
2022-2023,Bath County,51017,120,Millboro Elementary,28
2022-2023,Bath County,51017,150,Valley Elementary,36
2022-2023,Bedford County,51019,480,Bedford Elementary,49
2022-2023,Bedford County,51019,1200,Bedford Primary,60
2022-2023,Bedford County,51019,30,Big Island Elementary,16
2022-2023,Bedford County,51019,160,Boonsboro Elementary,27
2022-2023,Bedford County,51019,500,Forest Elementary,29
2022-2023,Bedford County,51019,1211,Forest Middle,74
2022-2023,Bedford County,51019,1214,Goodview Elementary,75
2022-2023,Bedford County,51019,980,Huddleston Elementary,26
2022-2023,Bedford County,51019,1212,Jefferson Forest High,135
2022-2023,Bedford County,51019,1180,Liberty High,128
2022-2023,Bedford County,51019,490,Liberty Middle,80
2022-2023,Bedford County,51019,970,Moneta Elementary,25
2022-2023,Bedford County,51019,180,Montvale Elementary,37
2022-2023,Bedford County,51019,610,New London Academy Elementary,52
2022-2023,Bedford County,51019,1170,Otter River Elementary,28
2022-2023,Bedford County,51019,1190,Staunton River High,129
2022-2023,Bedford County,51019,1191,Staunton River Middle,79
2022-2023,Bedford County,51019,640,Stewartsville Elementary,34
2022-2023,Bedford County,51019,1213,Thomas Jefferson Elementary,54
2022-2023,Bland County,51021,250,Bland County Elementary,82
2022-2023,Bland County,51021,260,Bland County High,76
2022-2023,Botetourt County,51023,220,Breckinridge Elementary,34
2022-2023,Botetourt County,51023,20,Buchanan Elementary,63
2022-2023,Botetourt County,51023,420,Central Academy Middle,54
2022-2023,Botetourt County,51023,390,Cloverdale Elementary,32
2022-2023,Botetourt County,51023,400,Colonial Elementary,95
2022-2023,Botetourt County,51023,30,Eagle Rock Elementary,21
2022-2023,Botetourt County,51023,460,Greenfield Elementary,100
2022-2023,Botetourt County,51023,430,James River High,56
2022-2023,Botetourt County,51023,440,Lord Botetourt High,110
2022-2023,Botetourt County,51023,450,Read Mountain Middle,122
2022-2023,Botetourt County,51023,40,Troutville Elementary,51
2022-2023,Bristol City,51520,60,Highland View Elementary,42
2022-2023,Bristol City,51520,100,Joseph Van Pelt Elementary,126
2022-2023,Bristol City,51520,70,Stonewall Jackson Elementary,32
2022-2023,Bristol City,51520,80,Virginia High,100
2022-2023,Bristol City,51520,10,Virginia Middle,104
2022-2023,Bristol City,51520,90,Washington-Lee Elementary,38
2022-2023,Brunswick County,51025,650,Brunswick High,62
2022-2023,Brunswick County,51025,660,James S. Russell Middle,48
2022-2023,Brunswick County,51025,690,Meherrin Powellton Elementary,21
2022-2023,Brunswick County,51025,700,Red Oak-Sturgeon Elementary,33
2022-2023,Brunswick County,51025,720,Totaro Elementary,28
2022-2023,Buchanan County,51027,90,Council Elementary/Middle,35
2022-2023,Buchanan County,51027,1000,Council High,29
2022-2023,Buchanan County,51027,990,Grundy High,60
2022-2023,Buchanan County,51027,120,Hurley Elementary/Middle,70
2022-2023,Buchanan County,51027,1020,Hurley High,43
2022-2023,Buchanan County,51027,1040,Riverview Elementary/Middle,157
2022-2023,Buchanan County,51027,1041,Twin Valley Elementary/Middle,46
2022-2023,Buchanan County,51027,1042,Twin Valley High,38
2022-2023,Buckingham County,51029,724,Buckingham Co Elementary,64
2022-2023,Buckingham County,51029,20,Buckingham Co Prekindergarten Center,20
2022-2023,Buckingham County,51029,723,Buckingham Co Primary,69
2022-2023,Buckingham County,51029,700,Buckingham County High,96
2022-2023,Buckingham County,51029,721,Buckingham County Middle,72
2022-2023,Buena Vista City,51530,40,Enderly Heights Elementary,41
2022-2023,Buena Vista City,51530,70,F.W. Kling Jr. Elementary,54
2022-2023,Buena Vista City,51530,62,Parry McCluer High,51
2022-2023,Buena Vista City,51530,61,Parry McCluer Middle,29
2022-2023,Campbell County,51031,560,Altavista Elementary,64
2022-2023,Campbell County,51031,200,Altavista High,104
2022-2023,Campbell County,51031,650,Brookneal Elementary,44
2022-2023,Campbell County,51031,720,Brookville High,115
2022-2023,Campbell County,51031,20,Brookville Middle,91
2022-2023,Campbell County,51031,130,Concord Elementary,65
2022-2023,Campbell County,51031,690,Leesville Road Elementary,109
2022-2023,Campbell County,51031,821,Rustburg Elementary,79
2022-2023,Campbell County,51031,222,Rustburg High,113
2022-2023,Campbell County,51031,211,Rustburg Middle,79
2022-2023,Campbell County,51031,60,Tomahawk Elementary,118
2022-2023,Campbell County,51031,542,William Campbell High,49
2022-2023,Campbell County,51031,710,Yellow Branch Elementary,107
2022-2023,Caroline County,51033,620,Bowling Green Elementary,118
2022-2023,Caroline County,51033,460,Caroline High,184
2022-2023,Caroline County,51033,450,Caroline Middle,111
2022-2023,Caroline County,51033,9020,Lewis and Clark Elementary,102
2022-2023,Caroline County,51033,630,Madison Elementary,74
2022-2023,Carroll County,51035,1230,Carroll County High,162
2022-2023,Carroll County,51035,450,Carroll County Middle,149
2022-2023,Carroll County,51035,1180,Fancy Gap Elementary,20
2022-2023,Carroll County,51035,1150,Gladesboro Elementary,10
2022-2023,Carroll County,51035,1210,Gladeville Elementary,56
2022-2023,Carroll County,51035,1170,Hillsville Elementary,116
2022-2023,Carroll County,51035,1160,Laurel Elementary,53
2022-2023,Carroll County,51035,1130,Oakland Elementary,29
2022-2023,Carroll County,51035,1110,St. Paul,65
2022-2023,Charles City County,51036,80,Charles City County Elementary,65
2022-2023,Charles City County,51036,100,Charles City County High,54
2022-2023,Charlotte County,51037,470,Bacon District Elementary,22
2022-2023,Charlotte County,51037,210,Central Middle,39
2022-2023,Charlotte County,51037,100,Eureka Elementary,37
2022-2023,Charlotte County,51037,450,Phenix Elementary,26
2022-2023,Charlotte County,51037,460,Randolph-Henry High,78
2022-2023,Charlottesville City,51540,100,Buford Middle,85
2022-2023,Charlottesville City,51540,70,Burnley-Moran Elementary,27
2022-2023,Charlottesville City,51540,140,Charlottesville High,206
2022-2023,Charlottesville City,51540,50,Clark Elementary,30
2022-2023,Charlottesville City,51540,90,Greenbrier Elementary,23
2022-2023,Charlottesville City,51540,120,Jackson-Via Elementary,61
2022-2023,Charlottesville City,51540,10,Johnson Elementary,39
2022-2023,Charlottesville City,51540,40,Venable Elementary,38
2022-2023,Charlottesville City,51540,110,Walker Upper Elementary,91
2022-2023,Chesapeake City,51550,630,B.M. Williams Primary,174
2022-2023,Chesapeake City,51550,860,Butts Road Intermediate,110
2022-2023,Chesapeake City,51550,770,Butts Road Primary,89
2022-2023,Chesapeake City,51550,90,Camelot Elementary,64
2022-2023,Chesapeake City,51550,900,Cedar Road Elementary,113
2022-2023,Chesapeake City,51550,700,Crestwood Intermediate,123
2022-2023,Chesapeake City,51550,560,Crestwood Middle,92
2022-2023,Chesapeake City,51550,660,Deep Creek Central Elementary,141
2022-2023,Chesapeake City,51550,210,Deep Creek Elementary,142
2022-2023,Chesapeake City,51550,100,Deep Creek High,248
2022-2023,Chesapeake City,51550,610,Deep Creek Middle,131
2022-2023,Chesapeake City,51550,640,Edwin W. Chittum Elementary,156
2022-2023,Chesapeake City,51550,720,G.A. Treakle Elementary,69
2022-2023,Chesapeake City,51550,50,George W. Carver Intermediate,93
2022-2023,Chesapeake City,51550,820,Georgetown Primary,128
2022-2023,Chesapeake City,51550,950,Grassfield Elementary,206
2022-2023,Chesapeake City,51550,960,Grassfield High,227
2022-2023,Chesapeake City,51550,120,Great Bridge High,233
2022-2023,Chesapeake City,51550,850,Great Bridge Intermediate,69
2022-2023,Chesapeake City,51550,590,Great Bridge Middle,155
2022-2023,Chesapeake City,51550,680,Great Bridge Primary,97
2022-2023,Chesapeake City,51550,870,Greenbrier Intermediate,103
2022-2023,Chesapeake City,51550,972,Greenbrier Middle,173
2022-2023,Chesapeake City,51550,140,Greenbrier Primary,149
2022-2023,Chesapeake City,51550,340,Hickory Elementary,93
2022-2023,Chesapeake City,51550,890,Hickory High,238
2022-2023,Chesapeake City,51550,280,Hickory Middle,200
2022-2023,Chesapeake City,51550,920,Hugo A. Owens Middle,168
2022-2023,Chesapeake City,51550,830,Indian River High,323
2022-2023,Chesapeake City,51550,710,Indian River Middle,132
2022-2023,Chesapeake City,51550,973,Jolliff Middle,130
2022-2023,Chesapeake City,51550,160,Norfolk Highlands Primary,45
2022-2023,Chesapeake City,51550,80,Oscar F. Smith High,416
2022-2023,Chesapeake City,51550,10,Oscar Smith Middle,194
2022-2023,Chesapeake City,51550,730,Portlock Primary,75
2022-2023,Chesapeake City,51550,200,Rena B. Wright Primary,35
2022-2023,Chesapeake City,51550,620,Southeastern Elementary,172
2022-2023,Chesapeake City,51550,600,Southwestern Elementary,94
2022-2023,Chesapeake City,51550,750,Sparrow Road Intermediate,73
2022-2023,Chesapeake City,51550,40,Thurgood Marshall Elementary,50
2022-2023,Chesapeake City,51550,971,Truitt Intermediate,45
2022-2023,Chesapeake City,51550,840,Western Branch High,394
2022-2023,Chesapeake City,51550,810,Western Branch Intermediate,139
2022-2023,Chesapeake City,51550,740,Western Branch Middle,152
2022-2023,Chesapeake City,51550,110,Western Branch Primary,133
2022-2023,Chesterfield County,51041,620,A.M. Davis Elementary,116
2022-2023,Chesterfield County,51041,861,Alberta Smith Elementary,92
2022-2023,Chesterfield County,51041,631,Bailey Bridge Middle,232
2022-2023,Chesterfield County,51041,660,Bellwood Elementary,60
2022-2023,Chesterfield County,51041,430,Bensley Elementary,79
2022-2023,Chesterfield County,51041,510,Bettie Weaver Elementary,76
2022-2023,Chesterfield County,51041,130,Beulah Elementary,111
2022-2023,Chesterfield County,51041,20,Bon Air Elementary,111
2022-2023,Chesterfield County,51041,50,C.C. Wells Elementary,80
2022-2023,Chesterfield County,51041,492,C.E. Curtis Elementary,86
2022-2023,Chesterfield County,51041,30,Carver College and Career Academy,77
2022-2023,Chesterfield County,51041,420,Carver Middle,149
2022-2023,Chesterfield County,51041,33,Chester Early Childhood Learning Academy,96
2022-2023,Chesterfield County,51041,93,Chesterfield Virtual School,127
2022-2023,Chesterfield County,51041,150,Clover Hill Elementary,128
2022-2023,Chesterfield County,51041,740,Clover Hill High,196
2022-2023,Chesterfield County,51041,840,Cosby High,197
2022-2023,Chesterfield County,51041,560,Crestwood Elementary,80
2022-2023,Chesterfield County,51041,480,Ecoff Elementary,91
2022-2023,Chesterfield County,51041,870,Elizabeth Davis Middle,167
2022-2023,Chesterfield County,51041,850,Elizabeth Scott Elementary,78
2022-2023,Chesterfield County,51041,390,Enon Elementary,100
2022-2023,Chesterfield County,51041,350,Ettrick Elementary,84
2022-2023,Chesterfield County,51041,300,Evergreen Elementary,157
2022-2023,Chesterfield County,51041,590,Falling Creek Elementary,84
2022-2023,Chesterfield County,51041,670,Falling Creek Middle,148
2022-2023,Chesterfield County,51041,180,Grange Hall Elementary,84
2022-2023,Chesterfield County,51041,70,Greenfield Elementary,66
2022-2023,Chesterfield County,51041,460,Harrowgate Elementary,80
2022-2023,Chesterfield County,51041,60,Hopkins Road Elementary,86
2022-2023,Chesterfield County,51041,550,J.A. Chalkley Elementary,121
2022-2023,Chesterfield County,51041,650,J.B. Watkins Elementary,103
2022-2023,Chesterfield County,51041,500,J.G. Hening Elementary,130
2022-2023,Chesterfield County,51041,400,Jacobs Road Elementary,125
2022-2023,Chesterfield County,51041,770,James River High,211
2022-2023,Chesterfield County,51041,10,Lloyd C. Bird High,231
2022-2023,Chesterfield County,51041,632,Manchester High,349
2022-2023,Chesterfield County,51041,600,Manchester Middle,143
2022-2023,Chesterfield County,51041,780,Marguerite F. Christian Elementary,75
2022-2023,Chesterfield County,51041,370,Matoaca Elementary,82
2022-2023,Chesterfield County,51041,530,Matoaca High,210
2022-2023,Chesterfield County,51041,110,Matoaca Middle,99
2022-2023,Chesterfield County,51041,580,Meadowbrook High,186
2022-2023,Chesterfield County,51041,320,Midlothian High,192
2022-2023,Chesterfield County,51041,40,Midlothian Middle,140
2022-2023,Chesterfield County,51041,280,Monacan High,157
2022-2023,Chesterfield County,51041,92,Moseley Elementary,96
2022-2023,Chesterfield County,51041,360,O.B. Gates Elementary,122
2022-2023,Chesterfield County,51041,90,Old Hundred Elementary,137
2022-2023,Chesterfield County,51041,380,Providence Elementary,118
2022-2023,Chesterfield County,51041,690,Providence Middle,123
2022-2023,Chesterfield County,51041,700,Reams Road Elementary,95
2022-2023,Chesterfield County,51041,730,Robious Elementary,108
2022-2023,Chesterfield County,51041,760,Robious Middle,141
2022-2023,Chesterfield County,51041,720,Salem Church Elementary,67
2022-2023,Chesterfield County,51041,722,Salem Church Middle,119
2022-2023,Chesterfield County,51041,800,Spring Run Elementary,116
2022-2023,Chesterfield County,51041,340,Swift Creek Elementary,104
2022-2023,Chesterfield County,51041,270,Swift Creek Middle,142
2022-2023,Chesterfield County,51041,410,Thelma Crenshaw Elementary,105
2022-2023,Chesterfield County,51041,610,Thomas Dale High,310
2022-2023,Chesterfield County,51041,880,Tomahawk Creek Middle,203
2022-2023,Chesterfield County,51041,290,W.W. Gordon Elementary,72
2022-2023,Chesterfield County,51041,860,Winterpock Elementary,88
2022-2023,Chesterfield County,51041,440,Woolridge Elementary,112
2022-2023,Clarke County,51043,250,Boyce Elementary,43
2022-2023,Clarke County,51043,10,Clarke County High,76
2022-2023,Clarke County,51043,290,D.G. Cooley Elementary,48
2022-2023,Clarke County,51043,280,Johnson-Williams Middle,50
2022-2023,Colonial Heights City,51570,40,Colonial Heights High,145
2022-2023,Colonial Heights City,51570,20,Colonial Heights Middle,107
2022-2023,Colonial Heights City,51570,50,Lakeview Elementary,56
2022-2023,Colonial Heights City,51570,30,North Elementary,44
2022-2023,Colonial Heights City,51570,60,Tussing Elementary,108
2022-2023,Craig County,51045,11,Craig County High,65
2022-2023,Craig County,51045,10,McCleary Elementary,66
2022-2023,Culpeper County,51047,240,A.G. Richardson Elementary,83
2022-2023,Culpeper County,51047,480,Culpeper County High,133
2022-2023,Culpeper County,51047,20,Culpeper Middle,97
2022-2023,Culpeper County,51047,50,Eastern View High,134
2022-2023,Culpeper County,51047,450,Emerald Hill Elementary,105
2022-2023,Culpeper County,51047,470,Farmington Elementary,57
2022-2023,Culpeper County,51047,581,Floyd T. Binns Middle,83
2022-2023,Culpeper County,51047,582,Galbreath-Marshall Building,19
2022-2023,Culpeper County,51047,10,Pearl Sample Elementary,92
2022-2023,Culpeper County,51047,460,Sycamore Park Elementary,86
2022-2023,Culpeper County,51047,40,Yowell Elementary,109
2022-2023,Cumberland County,51049,140,Cumberland Elementary,72
2022-2023,Cumberland County,51049,151,Cumberland High,57
2022-2023,Cumberland County,51049,152,Cumberland Middle,39
2022-2023,Danville City,51590,490,Edwin A. Gibson Elementary,92
2022-2023,Danville City,51590,20,Forest Hills Elementary,31
2022-2023,Danville City,51590,190,G.L.H. Johnson Elementary,52
2022-2023,Danville City,51590,1374,Galileo Magnet High,16
2022-2023,Danville City,51590,210,George Washington High,230
2022-2023,Danville City,51590,200,Grove Park Preschool,45
2022-2023,Danville City,51590,260,O. Trent Bonner Middle,99
2022-2023,Danville City,51590,250,Park Avenue Elementary,51
2022-2023,Danville City,51590,139,R.I.S.E Academy at the John M. Langston Campus,<
2022-2023,Danville City,51590,40,Schoolfield Elementary,60
2022-2023,Danville City,51590,30,The Northside Preschool,<
2022-2023,Danville City,51590,1372,Westwood Middle,114
2022-2023,Danville City,51590,220,Woodberry Hills Elementary,66
2022-2023,Dickenson County,51051,20,Clintwood Elementary,54
2022-2023,Dickenson County,51051,530,Ervinton Elementary,22
2022-2023,Dickenson County,51051,275,Ridgeview High,109
2022-2023,Dickenson County,51051,280,Ridgeview Middle,62
2022-2023,Dickenson County,51051,860,Sandlick Elementary,54
2022-2023,Dinwiddie County,51053,500,Dinwiddie County High,216
2022-2023,Dinwiddie County,51053,471,Dinwiddie County Middle,146
2022-2023,Dinwiddie County,51053,310,Dinwiddie Elementary,87
2022-2023,Dinwiddie County,51053,250,Midway Elementary,31
2022-2023,Dinwiddie County,51053,10,Southside Elementary,72
2022-2023,Dinwiddie County,51053,180,Sunnyside Elementary,35
2022-2023,Dinwiddie County,51053,520,Sutherland Elementary,52
2022-2023,Essex County,51057,10,Essex High,91
2022-2023,Essex County,51057,150,James H. Cary Intermediate,70
2022-2023,Essex County,51057,160,Tappahannock Elementary,52
2022-2023,Fairfax County,51059,2203,Aldrin Elementary,123
2022-2023,Fairfax County,51059,660,Annandale High,359
2022-2023,Fairfax County,51059,1360,Annandale Terrace Elementary,108
2022-2023,Fairfax County,51059,110,Archer Elementary,77
2022-2023,Fairfax County,51059,1530,Armstrong Elementary,116
2022-2023,Fairfax County,51059,550,Bailey's Elementary School for the Arts and Sciences,115
2022-2023,Fairfax County,51059,2459,Bailey's Upper Elementary School for the Arts and Sciences,63
2022-2023,Fairfax County,51059,1730,Beech Tree Elementary,64
2022-2023,Fairfax County,51059,560,Belle View Elementary,116
2022-2023,Fairfax County,51059,720,Belvedere Elementary,131
2022-2023,Fairfax County,51059,2000,Bonnie Brae Elementary,147
2022-2023,Fairfax County,51059,1090,Braddock Elementary,102
2022-2023,Fairfax County,51059,940,Bren Mar Park Elementary,94
2022-2023,Fairfax County,51059,1790,Brookfield Elementary,98
2022-2023,Fairfax County,51059,2201,Bryant High,13
2022-2023,Fairfax County,51059,700,Bucknell Elementary,73
2022-2023,Fairfax County,51059,2251,Bull Run Early Childhood Resource Center,269
2022-2023,Fairfax County,51059,2225,Bull Run Elementary,106
2022-2023,Fairfax County,51059,680,Bush Hill Elementary,148
2022-2023,Fairfax County,51059,1940,Camelot Elementary,128
2022-2023,Fairfax County,51059,620,Cameron Elementary,72
2022-2023,Fairfax County,51059,1590,Canterbury Woods Elementary,124
2022-2023,Fairfax County,51059,1690,Cardinal Forest Elementary,141
2022-2023,Fairfax County,51059,2222,Carson Middle,161
2022-2023,Fairfax County,51059,2090,Centre Ridge Elementary,110
2022-2023,Fairfax County,51059,2205,Centreville Elementary,129
2022-2023,Fairfax County,51059,200,Centreville High,326
2022-2023,Fairfax County,51059,131,Chantilly High,428
2022-2023,Fairfax County,51059,480,Cherry Run Elementary,99
2022-2023,Fairfax County,51059,100,Chesterbrook Elementary,59
2022-2023,Fairfax County,51059,1050,Churchill Road Elementary,61
2022-2023,Fairfax County,51059,260,Clearview Elementary,124
2022-2023,Fairfax County,51059,1870,Clermont Elementary,66
2022-2023,Fairfax County,51059,2347,Coates Elementary,99
2022-2023,Fairfax County,51059,1510,Columbia Elementary,55
2022-2023,Fairfax County,51059,2234,Colvin Run Elementary,117
2022-2023,Fairfax County,51059,1190,Cooper Middle,108
2022-2023,Fairfax County,51059,870,Crestwood Elementary,67
2022-2023,Fairfax County,51059,2020,Crossfield Elementary,87
2022-2023,Fairfax County,51059,1600,Cub Run Elementary,127
2022-2023,Fairfax County,51059,1700,Cunningham Park Elementary,119
2022-2023,Fairfax County,51059,2229,Daniels Run Elementary,148
2022-2023,Fairfax County,51059,2204,Deer Park Elementary,138
2022-2023,Fairfax County,51059,220,Dogwood Elementary,122
2022-2023,Fairfax County,51059,2010,Dranesville Elementary,145
2022-2023,Fairfax County,51059,2238,Dunn Loring Early Childhood Resource Center,309
2022-2023,Fairfax County,51059,2243,Eagle View Elementary,133
2022-2023,Fairfax County,51059,1270,Edison High,325
2022-2023,Fairfax County,51059,20,Fairfax High,296
2022-2023,Fairfax County,51059,1480,Fairfax Villa Elementary,107
2022-2023,Fairfax County,51059,1630,Fairhill Elementary,75
2022-2023,Fairfax County,51059,290,Fairview Elementary,96
2022-2023,Fairfax County,51059,1100,Falls Church High,348
2022-2023,Fairfax County,51059,730,Flint Hill Elementary,85
2022-2023,Fairfax County,51059,740,Floris Elementary,84
2022-2023,Fairfax County,51059,70,Forest Edge Elementary,85
2022-2023,Fairfax County,51059,1450,Forestdale Elementary,122
2022-2023,Fairfax County,51059,370,Forestville Elementary,79
2022-2023,Fairfax County,51059,2224,Fort Belvoir Elementary,144
2022-2023,Fairfax County,51059,2458,Fort Belvoir Upper Elementary,134
2022-2023,Fairfax County,51059,1920,Fort Hunt Elementary,91
2022-2023,Fairfax County,51059,390,Fox Mill Elementary,110
2022-2023,Fairfax County,51059,320,Franconia Elementary,88
2022-2023,Fairfax County,51059,440,Franklin Middle,155
2022-2023,Fairfax County,51059,490,Freedom Hill Elementary,117
2022-2023,Fairfax County,51059,1410,Frost Middle,197
2022-2023,Fairfax County,51059,630,Garfield Elementary,55
2022-2023,Fairfax County,51059,1170,Glasgow Middle,257
